boss_skill_id,skill_group_id,boss_id,phase_index,order_in_phase,skill_name_key,trigger_rule,cast_time_sec,cooldown_sec,target_rule,effect_type,effect_param_1,effect_param_2,telegraph_fx_id,impact_fx_id,note
boss_skill_muwei_01,boss_skill_group_muwei,boss_liejia_muwei,1,1,boss_skill_name_muwei_slam,hp_above_50_and_player_near,1.2,6.0,front_arc,damage,28,0,fx_warn_ground_arc,fx_hit_rock_slam,opening melee punish
boss_skill_muwei_02,boss_skill_group_muwei,boss_liejia_muwei,1,2,boss_skill_name_muwei_vine,interval_8s,1.5,8.0,random_tile_3,spawn_hazard,3,12,fx_warn_vine_root,fx_vine_burst,spawn root hazards on field
boss_skill_muwei_03,boss_skill_group_muwei,boss_liejia_muwei,2,1,boss_skill_name_muwei_core,hp_below_50_once,2.0,14.0,self_buff,shield,180,8,fx_core_charge,fx_core_barrier,phase shift shield
boss_skill_muwei_04,boss_skill_group_muwei,boss_liejia_muwei,2,2,boss_skill_name_muwei_charge,hp_below_50_and_interval_10s,1.0,10.0,line_charge,damage,42,0,fx_warn_line_red,fx_hit_charge,straight rush
boss_skill_tengmu_01,boss_skill_group_tengmu,boss_shixiang_tengmu,1,1,boss_skill_name_tengmu_spore,interval_7s,1.8,7.0,circle_medium,apply_dot,6,10,fx_warn_spore_cloud,fx_spore_bloom,poison mist zone
boss_skill_tengmu_02,boss_skill_group_tengmu,boss_shixiang_tengmu,1,2,boss_skill_name_tengmu_grab,player_farther_than_4m,1.0,9.0,single_target_root,root,2,3,fx_warn_root_hand,fx_root_bind,anti-kite snare
boss_skill_tengmu_03,boss_skill_group_tengmu,boss_shixiang_tengmu,2,1,boss_skill_name_tengmu_blossom,hp_below_55_once,2.5,16.0,self_summon,spawn_add,2,0,fx_blossom_expand,fx_spawn_pollen_moth,spawns adds on phase 2
boss_skill_tengmu_04,boss_skill_group_tengmu,boss_shixiang_tengmu,2,2,boss_skill_name_tengmu_sap,hp_below_55_and_interval_12s,1.6,12.0,cone_front,drain,18,6,fx_warn_sap_cone,fx_hit_sap_drain,life drain cone
boss_skill_xiehou_01,boss_skill_group_xiehou,boss_chiyan_xiehou,1,1,boss_skill_name_xiehou_tail,interval_6s,0.8,6.0,back_arc,damage,38,0,fx_warn_tail_sweep,fx_hit_tail_fire,tail sweep
boss_skill_xiehou_02,boss_skill_group_xiehou,boss_chiyan_xiehou,1,2,boss_skill_name_xiehou_sand,player_farther_than_5m,1.4,8.0,line_projectile_5,damage,24,0,fx_warn_sand_spit,fx_hit_burning_sand,mid-range projectile volley
boss_skill_xiehou_03,boss_skill_group_xiehou,boss_chiyan_xiehou,2,1,boss_skill_name_xiehou_ring,hp_below_70_once,2.1,14.0,self_ring,spawn_hazard,8,14,fx_warn_ring_fire,fx_fire_ring,arena denial ring
boss_skill_xiehou_04,boss_skill_group_xiehou,boss_chiyan_xiehou,2,2,boss_skill_name_xiehou_dive,hp_between_35_70_and_interval_11s,1.0,11.0,burrow_reappear,damage,45,0,fx_warn_burrow_track,fx_hit_burrow_blast,burrow pop attack
boss_skill_xiehou_05,boss_skill_group_xiehou,boss_chiyan_xiehou,3,1,boss_skill_name_xiehou_frenzy,hp_below_35_once,1.3,18.0,self_buff,speed_up,0.35,12,fx_frenzy_heat,fx_frenzy_aura,final phase haste
boss_skill_xiehou_06,boss_skill_group_xiehou,boss_chiyan_xiehou,3,2,boss_skill_name_xiehou_rain,hp_below_35_and_interval_9s,1.7,9.0,random_area_6,meteor,32,6,fx_warn_firefall,fx_hit_magma_drop,fire rain finisher
boss_skill_mingmu_01,boss_skill_group_mingmu,boss_shiling_mingmu,1,1,boss_skill_name_mingmu_drain,interval_8s,1.5,8.0,cone_front,drain,22,8,fx_warn_void_cone,fx_hit_void_drain,resource drain cone
boss_skill_mingmu_02,boss_skill_group_mingmu,boss_shiling_mingmu,1,2,boss_skill_name_mingmu_swarm,player_farther_than_6m,1.8,10.0,random_area_4,spawn_add,4,0,fx_warn_swarm_portal,fx_spawn_parasite,spawn parasite drones
boss_skill_mingmu_03,boss_skill_group_mingmu,boss_shiling_mingmu,2,1,boss_skill_name_mingmu_pulse,hp_below_75_once,2.0,15.0,arena_pulse,damage,30,0,fx_warn_full_pulse,fx_hit_void_pulse,whole arena pulse
boss_skill_mingmu_04,boss_skill_group_mingmu,boss_shiling_mingmu,2,2,boss_skill_name_mingmu_corrupt,hp_between_40_75_and_interval_11s,1.6,11.0,tile_corrupt_8,field_corrupt,8,16,fx_warn_corrupt_tile,fx_field_corrupt,turns ground into corruption
boss_skill_mingmu_05,boss_skill_group_mingmu,boss_shiling_mingmu,3,1,boss_skill_name_mingmu_devour,hp_below_40_once,2.4,20.0,single_target_channel,execute,999,0,fx_warn_devour_lock,fx_hit_devour_core,high danger execute on downed targets
boss_skill_mingmu_06,boss_skill_group_mingmu,boss_shiling_mingmu,3,2,boss_skill_name_mingmu_darkfall,hp_below_40_and_interval_12s,2.0,12.0,arena_rain,multiple_damage,34,5,fx_warn_darkfall,fx_hit_dark_shard,arena shard rain
boss_skill_mingmu_07,boss_skill_group_mingmu,boss_shiling_mingmu,3,3,boss_skill_name_mingmu_last,hp_below_15_once,3.0,99.0,self_script,phase_script,1,0,fx_laststand_core,fx_laststand_shock,final desperation script
