building_id,building_name_key,category,width,height,cost_gold,cost_wood,cost_stone,cost_metal,cost_special_item,cost_special_count,unlock_type,unlock_param,function_tags,placement_rule,model_id
build_house_start,building_name_house_start,house,3,3,0,0,0,0,,0,default,,"sleep|save",farm_only,model_build_house_start
build_storage_001,building_name_storage_001,house,2,2,80,12,6,0,,0,default,,"storage",farm_only,model_build_storage_001
build_lingjing_001,building_name_lingjing_001,farm,2,2,300,20,10,0,,0,quest,quest_main_0101_lingjing_huisheng,"water|farm",farm_only,model_build_lingjing_001
build_mill_001,building_name_mill_001,workshop,2,2,500,18,10,0,,0,default,,"machine|mill",farm_only,model_build_mill_001
build_alchemy_001,building_name_alchemy_001,workshop,2,2,650,15,12,4,,0,default,,"machine|alchemy",farm_only,model_build_alchemy_001
build_furnace_001,building_name_furnace_001,workshop,2,2,900,12,16,8,,0,quest,quest_main_0102_tonghuo_chuming,"machine|furnace",farm_only,model_build_furnace_001
build_loom_001,building_name_loom_001,workshop,2,2,1200,16,10,6,,0,chapter,2,"machine|loom",farm_only,model_build_loom_001
build_vat_001,building_name_vat_001,workshop,2,2,1400,20,8,6,,0,chapter,2,"machine|vat",farm_only,model_build_vat_001
build_shop_lv1,building_name_shop_lv1,shop,4,4,4000,40,25,10,,0,quest,quest_main_0201_jiupu_kaimen,"shop|shelf_basic",town_shop_only,model_build_shop_lv1
build_shop_lv2,building_name_shop_lv2,shop,5,4,8500,60,35,20,,0,shop_reputation,shop_reputation_200,"shop|shelf_premium",town_shop_only,model_build_shop_lv2
build_spirit_manor,building_name_spirit_manor,spirit,4,4,12000,80,40,20,item_cloth_liuyunsi,30,quest,quest_main_0301_baiguai_youyuan,"spirit|housing",farm_only,model_build_spirit_manor
build_kitchen_001,building_name_kitchen_001,workshop,2,2,1800,22,12,8,,0,chapter,2,"machine|kitchen",farm_only,model_build_kitchen_001
build_alchemy_002,building_name_alchemy_002,workshop,3,3,3800,30,20,18,item_special_huojing,1,chapter,4,"machine|alchemy_high",farm_only,model_build_alchemy_002
build_vat_002,building_name_vat_002,workshop,3,3,3200,28,18,12,,0,chapter,3,"machine|vat_high",farm_only,model_build_vat_002
build_kitchen_002,building_name_kitchen_002,workshop,3,3,3400,30,18,12,,0,chapter,3,"machine|kitchen_high",farm_only,model_build_kitchen_002
build_fishpond_lv1,building_name_fishpond_lv1,farm,3,2,680,18,10,0,,0,quest,quest_side_0205_qinghe_pond,"water|fish|pond|quest",farm_only,model_build_fishpond_lv1
build_broken_bridge_repair,building_name_bridge_repair,farm,4,2,2000,50,0,10,,0,quest,quest_main_0103_duanqiao_jiumu,"unlock_area",bridge_only,model_build_bridge_repair
build_solar_array_final,building_name_solar_array_final,special,5,5,50000,100,80,40,item_special_dinghai_shenzhu,1,quest,quest_main_0403_pantao_dayan,"final|array|story",farm_core_only,model_build_solar_array_final
