map_id,epilogue_id,dialogue_group_id,scene_key,trigger_timing,repeat_cycle,skip_allowed,note
cohab_map_baizhi_daily_01,cohab_baizhi_01,dialogue_cohab_baizhi_daily,scene_cohab_baizhi_morning,on_day_start,daily,false,白芷药庐清晨同住对话
cohab_map_baizhi_weekly_01,cohab_baizhi_01,dialogue_cohab_baizhi_weekly,scene_cohab_baizhi_night,on_day_end,weekly,false,白芷夜间诊治后日谈
cohab_map_hu_daily_01,cohab_hu_01,dialogue_cohab_hu_daily,scene_cohab_hu_market,on_day_start,daily,false,胡四海商路晨谈
cohab_map_hu_weekly_01,cohab_hu_01,dialogue_cohab_hu_weekly,scene_cohab_hu_route_return,on_trade_return,weekly,false,胡四海跨界归来后日谈
cohab_map_atan_daily_01,cohab_atan_01,dialogue_cohab_atan_daily,scene_cohab_atan_yard,on_day_start,daily,false,阿檀整理庭院日常
cohab_map_atan_weekly_01,cohab_atan_01,dialogue_cohab_atan_weekly,scene_cohab_atan_build,on_build_complete,weekly,false,阿檀共筑家园后日谈
cohab_map_qinghe_daily_01,cohab_qinghe_01,dialogue_cohab_qinghe_daily,scene_cohab_qinghe_pond,on_day_start,daily,false,青禾灵池日常
cohab_map_qinghe_weekly_01,cohab_qinghe_01,dialogue_cohab_qinghe_weekly,scene_cohab_qinghe_rain,on_term_change,weekly,false,青禾雨夜后日谈
cohab_map_shen_daily_01,cohab_shen_01,dialogue_cohab_shen_daily,scene_cohab_shen_nightwatch,on_day_end,daily,false,沈孤灯夜巡日常
cohab_map_shen_weekly_01,cohab_shen_01,dialogue_cohab_shen_weekly,scene_cohab_shen_firepit,on_dungeon_return,weekly,false,沈孤灯护院与回程对话
