crop_id,seed_item_id,season_list,solar_term_bonus_tags,element_type,grow_days,regrow_days,water_need_per_day,base_quality_weight,base_spirit_chance,suitable_soil_tags,disaster_weakness_tags,harvest_yield_min,harvest_yield_max,process_recipe_tags,gift_tags,crop_model_id
crop_lingqi_bailuobo,seed_lingqi_bailuobo,"spring","lichun|yushui|guyu",earth,1,0,1,50,0.05,"normal|earth","drought|pest",1,1,"food_basic|dry_goods","plain|villager",model_crop_lingqi_bailuobo
crop_qingya_baicai,seed_qingya_baicai,"spring","lichun|chunfen",wood,2,0,1,52,0.03,"normal|water","frost",1,2,"food_basic","plain|home",model_crop_qingya_baicai
crop_luzhu_qin,seed_luzhu_qin,"spring","qingming|bailu",water,3,0,1,58,0.03,"water|normal","drought",1,2,"food_cold|festival","refreshing|healer",model_crop_luzhu_qin
crop_tiepi_shihu,seed_tiepi_shihu,"spring","guyu|qiufen",wood,3,0,1,68,0.04,"herb|wood","frost|drought",1,1,"medicine_basic|medicine_mid","healer|serious",model_crop_tiepi_shihu
crop_guyu_chaya,seed_guyu_chaya,"spring","guyu",wood,4,0,1,70,0.04,"wood|mist","drought",1,2,"drink_tea|gift","refined|scholar",model_crop_guyu_chaya
crop_yinling_liuyuncao,seed_yinling_liuyuncao,"spring","guyu|lixia",metal,4,0,1,75,0.05,"normal|wind","frost",1,2,"cloth_basic|upgrade","craft|gift",model_crop_yinling_liuyuncao
crop_penhuo_xiaolajiao,seed_penhuo_xiaolajiao,"summer","lixia|dashu",fire,2,0,1,60,0.05,"fire|normal","flood",1,2,"spice|fire_process","hot|warrior",model_crop_penhuo_xiaolajiao
crop_qingshui_hulu,seed_qingshui_hulu,"summer","xiaoshu|dashu",water,3,0,2,62,0.03,"water|normal","pest",1,2,"drink_water|container","plain|summer",model_crop_qingshui_hulu
crop_yuewen_huanggua,seed_yuewen_huanggua,"summer","xiazhi|xiaoshu",water,4,0,2,64,0.03,"water|normal","pest",1,2,"food_cold","refreshing|villager",model_crop_yuewen_huanggua
crop_mangzhong_maisui,seed_mangzhong_maisui,"summer","mangzhong",earth,4,0,1,66,0.02,"normal|earth","flood",1,3,"flour|brew_base","staple|worker",model_crop_mangzhong_maisui
crop_hedeng_lianzi,seed_hedeng_lianzi,"summer","xiaoshu|lidong",water,5,0,2,78,0.04,"water","drought",1,2,"sweet_food|festival_food","pure|festival",model_crop_hedeng_lianzi
crop_chiyan_zhushaguo,seed_chiyan_zhushaguo,"summer","dashu|chushu",fire,6,0,2,88,0.06,"fire","flood",1,1,"alchemy_fire|high_fire","rare|cultivator",model_crop_chiyan_zhushaguo
crop_shuangtang_nangua,seed_shuangtang_nangua,"autumn","liqiu|hanlu",earth,4,0,1,65,0.03,"earth|normal","frost",1,2,"sweet_food|festival_food","home|gift",model_crop_shuangtang_nangua
crop_jinsui_yumi,seed_jinsui_yumi,"autumn","liqiu|qiufen",earth,4,0,1,67,0.02,"normal|earth","frost",1,3,"feed|grain","staple|villager",model_crop_jinsui_yumi
crop_shanli_lingshu,seed_shanli_lingshu,"autumn","chushu|hanlu",earth,3,0,1,60,0.03,"sand|earth","flood",1,2,"storage_food","plain|worker",model_crop_shanli_lingshu
crop_qiusui_zhima,seed_qiusui_zhima,"autumn","bailu|qiufen",metal,4,0,1,76,0.03,"normal|metal","frost",1,2,"oil|spice","refined|gift",model_crop_qiusui_zhima
crop_xuanxiang_dao,seed_xuanxiang_dao,"autumn","qiufen|lidong",water,5,0,2,82,0.04,"water|normal","drought",1,3,"rice|brew","ritual|premium",model_crop_xuanxiang_dao
crop_bailu_yiner,seed_bailu_yiner,"autumn","bailu",water,5,0,1,86,0.05,"mist|herb","drought",1,2,"medicine_high|dessert","healer|premium",model_crop_bailu_yiner
crop_xuewen_luoman,seed_xuewen_luoman,"winter","xiaoxue|daxue",earth,3,0,1,62,0.03,"cold|earth","drought",1,2,"winter_food","plain|winter",model_crop_xuewen_luoman
crop_hanyu_baicai,seed_hanyu_baicai,"winter","lidong|dongzhi",water,4,0,1,72,0.03,"cold|water","pest",1,2,"pickles|winter_food","home|villager",model_crop_hanyu_baicai
crop_binglu_bohe,seed_binglu_bohe,"winter","daxue|dongzhi",water,4,0,1,75,0.04,"cold|water","frost",1,2,"medicine_cool|symbol_water","refreshing|healer",model_crop_binglu_bohe
crop_xuehuo_lingjiang,seed_xuehuo_lingjiang,"winter","xiaohan|dahan",fire,4,0,1,74,0.04,"fire|cold","flood",1,2,"warm_food|medicine_fire","hot|winter",model_crop_xuehuo_lingjiang
crop_xuanshuang_lanmei,seed_xuanshuang_lanmei,"winter","dongzhi|dahan",water,5,0,1,90,0.05,"cold|mist","drought",1,2,"dessert_high|drink_high","premium|guest",model_crop_xuanshuang_lanmei
crop_dongcang_yaoshen,seed_dongcang_yaoshen,"winter","dahan",wood,6,0,1,95,0.06,"herb|cold","drought|frost",1,1,"medicine_endgame","healer|rare",model_crop_dongcang_yaoshen
crop_water_lotus_seed,seed_shuihang_lianshi,"summer|autumn","xiaoshu|bailu",water,5,0,2,84,0.05,"water|mist","drought",1,2,"water_food|drink_high|trade_fresh","refreshing|premium",model_crop_water_lotus_seed
item_crop_wannian_pantao,item_seed_wannian_pantao,"all","lichun|chunfen|guyu|xiaoshu|bailu|dongzhi",wood,3,0,3,95,0.00,"normal|water|earth","drought",1,1,"legend|banquet|final","legend|festival|town",model_crop_wannian_pantao
