asset_id,cutscene_id,asset_type,asset_ref,owner_discipline,priority,required_for_demo,localization_key,audio_key,qa_check_key,note
asset_final_array_model,cutscene_final_array_build,model,build_solar_array_final,art,P0,false,,audio_final_array_layers,qa_cutscene_final_array_model,final array prop
asset_final_array_fx,cutscene_final_array_build,vfx,fx_final_array_node_light,vfx,P0,false,,audio_array_incantation,qa_cutscene_final_array_fx,array node light
asset_support_workers,cutscene_final_support_ensemble,model,npc_worker_group,art,P1,false,subtitle_support_workers,audio_crowd_march,qa_cutscene_support_workers,worker group
asset_support_supply_pack,cutscene_final_support_ensemble,prop,prop_hu_supply_pack,art,P1,false,subtitle_support_supply,audio_supply_drop,qa_cutscene_support_supply,supply pack
asset_support_guard_line,cutscene_final_support_ensemble,vfx,fx_guard_line_blade,vfx,P1,false,subtitle_support_guard,audio_blade_guard,qa_cutscene_support_guard,guard line
asset_boss_nest_env,cutscene_boss_mingmu_intro,environment,area_final_nest,level_art,P0,false,,audio_boss_mingmu_ambience,qa_cutscene_boss_nest,boss nest
asset_boss_body,cutscene_boss_mingmu_intro,model,boss_shiling_mingmu,art,P0,false,dialogue_boss_hint_mingmu,audio_boss_mingmu_reveal,qa_cutscene_boss_body,boss reveal
asset_banquet_lights,cutscene_final_banquet,environment,area_festival_ground_lights,level_art,P1,false,,audio_banquet_open,qa_cutscene_banquet_lights,festival lights
asset_banquet_spirits,cutscene_final_banquet,animation,anim_group_spirit_celebrate,animation,P1,false,,audio_spirit_cheer,qa_cutscene_banquet_spirits,spirit celebration
asset_ending_panel,cutscene_final_banquet,ui,ui_ending_panel,ui,P0,false,ui_ending_unlocks,audio_ui_unlock,qa_cutscene_ending_panel,ending panel
asset_side_bridge_tablet,scene_side_0101_xubo_bridge_old,prop,prop_old_bridge_tablet,art,P1,true,subtitle_side_0101_beat_02,audio_stone_touch,qa_side_bridge_tablet,side quest bridge tablet
asset_side_clinic_box,scene_side_0103_baizhi_clinic,prop,prop_empty_medicine_box,art,P1,true,subtitle_side_0103_beat_01,audio_clinic_bell_low,qa_side_clinic_box,clinic prop
asset_side_pricing_tag,scene_side_0201_hu_price_test,ui,ui_price_tag_tutorial,ui,P0,true,subtitle_side_0201_beat_01,audio_coin_soft,qa_side_pricing_tag,pricing tutorial
asset_side_spirit_room,scene_side_0304_atan_spirit_room,environment,area_spirit_room_preview,level_art,P1,false,subtitle_side_0304_beat_01,audio_wood_measure,qa_side_spirit_room,spirit room preview
asset_side_waterline,scene_side_0405_spirit_shui,vfx,fx_final_waterline_preview,vfx,P0,false,subtitle_side_0405_beat_01,audio_water_rise,qa_side_waterline,waterline preview
asset_spirit_luobo_evolve_model,cutscene_spirit_luobo_evolve,model,model_spirit_luobo_02,art,P1,false,spirit_event_luobo_02,audio_spirit_birth,qa_cutscene_spirit_luobo_model,luobo evolved form
asset_spirit_luobo_evolve_fx,cutscene_spirit_luobo_evolve,vfx,fx_farm_root_bloom,vfx,P1,false,spirit_event_luobo_02,audio_term_change,qa_cutscene_spirit_luobo_fx,field root bloom
asset_spirit_lajiao_evolve_model,cutscene_spirit_lajiao_evolve,model,model_spirit_lajiao_02,art,P1,false,spirit_event_lajiao_02,audio_spirit_birth,qa_cutscene_spirit_lajiao_model,lajiao evolved form
asset_spirit_lajiao_evolve_fx,cutscene_spirit_lajiao_evolve,vfx,fx_workshop_fire_ring,vfx,P1,false,spirit_event_lajiao_02,audio_term_change,qa_cutscene_spirit_lajiao_fx,workshop fire ring
asset_spirit_suan_evolve_model,cutscene_spirit_suan_evolve,model,model_spirit_suan_02,art,P1,false,spirit_event_suan_02,audio_spirit_birth,qa_cutscene_spirit_suan_model,suan evolved form
asset_spirit_suan_evolve_fx,cutscene_spirit_suan_evolve,vfx,fx_training_blade_arc,vfx,P1,false,spirit_event_suan_02,audio_ui_unlock,qa_cutscene_spirit_suan_fx,training blade arc
asset_spirit_shui_evolve_model,cutscene_spirit_shui_evolve,model,model_spirit_shui_02,art,P1,false,spirit_event_shui_02,audio_spirit_birth,qa_cutscene_spirit_shui_model,shui evolved form
asset_spirit_shui_evolve_fx,cutscene_spirit_shui_evolve,vfx,fx_canal_waterline,vfx,P1,false,spirit_event_shui_02,audio_water_rise,qa_cutscene_spirit_shui_fx,canal waterline lift
asset_spirit_yunshu_evolve_model,cutscene_spirit_yunshu_evolve,model,model_spirit_yunshu_02,art,P1,false,spirit_event_yunshu_02,audio_spirit_birth,qa_cutscene_spirit_yunshu_model,yunshu evolved form
asset_spirit_yunshu_evolve_prop,cutscene_spirit_yunshu_evolve,prop,prop_storage_cloud_crate,art,P1,false,spirit_event_yunshu_02,audio_coin_soft,qa_cutscene_spirit_yunshu_prop,storage cloud crate
asset_spirit_bucao_evolve_model,cutscene_spirit_bucao_evolve,model,model_spirit_bucao_02,art,P1,false,spirit_event_bucao_02,audio_spirit_birth,qa_cutscene_spirit_bucao_model,bucao evolved form
asset_spirit_bucao_evolve_fx,cutscene_spirit_bucao_evolve,vfx,fx_festival_brocade_arc,vfx,P1,false,spirit_event_bucao_02,audio_spirit_cheer,qa_cutscene_spirit_bucao_fx,festival brocade arc
