dialogue_group_id,npc_id,context_type,condition_group,line_order,speaker_id,content_key,next_group_id
dialogue_system_default,npc_system,default,always_true,1,npc_system,dialogue_system_default_001,
dialogue_main_0001_intro,npc_system,quest,quest_main_0001_active,1,player,dialogue_main_0001_001,
dialogue_main_0001_intro,npc_system,quest,quest_main_0001_active,2,npc_system,dialogue_main_0001_012,
dialogue_main_0002_cottage,npc_system,quest,quest_main_0001_step_1_active,1,player,dialogue_main_0002_001,
dialogue_main_0002_cottage,npc_system,quest,quest_main_0001_step_1_active,2,npc_system,dialogue_main_0002_012,
dialogue_main_0003_spirit,npc_system,quest,first_spirit_birth,1,player,dialogue_main_0003_001,
dialogue_main_0003_spirit,npc_system,quest,first_spirit_birth,2,spirit_luobo_01,dialogue_main_0003_007,
dialogue_main_0003_spirit,npc_system,quest,first_spirit_birth,3,npc_system,dialogue_main_0003_012,
dialogue_xubo_default,npc_xubo,default,always_true,1,npc_xubo,dialogue_xubo_default_001,
dialogue_xubo_default,npc_xubo,default,always_true,2,npc_xubo,dialogue_xubo_default_002,
dialogue_xubo_quest_0002,npc_xubo,quest,quest_main_0002_active,1,npc_xubo,dialogue_main_0101_001,
dialogue_xubo_quest_0002,npc_xubo,quest,quest_main_0002_active,2,player,dialogue_main_0101_002,
dialogue_xubo_quest_0002,npc_xubo,quest,quest_main_0002_active,3,npc_xubo,dialogue_main_0101_010,
dialogue_xubo_favor_2,npc_xubo,favor,npc_xubo_favor_2,1,npc_xubo,dialogue_xubo_favor_2_001,
dialogue_xubo_favor_4,npc_xubo,favor,npc_xubo_favor_4,1,npc_xubo,dialogue_xubo_favor_4_001,
dialogue_xubo_favor_5,npc_xubo,favor,npc_xubo_favor_5,1,npc_xubo,dialogue_xubo_favor_5_001,
dialogue_zhang_default,npc_zhang_tieshan,default,always_true,1,npc_zhang_tieshan,dialogue_zhang_default_001,
dialogue_zhang_default,npc_zhang_tieshan,default,always_true,2,npc_zhang_tieshan,dialogue_zhang_default_002,
dialogue_zhang_quest_0102,npc_zhang_tieshan,quest,quest_main_0102_active,1,npc_zhang_tieshan,dialogue_main_0102_001,
dialogue_zhang_quest_0102,npc_zhang_tieshan,quest,quest_main_0102_active,2,player,dialogue_main_0102_004,
dialogue_zhang_quest_0102,npc_zhang_tieshan,quest,quest_main_0102_active,3,npc_zhang_tieshan,dialogue_main_0102_011,
dialogue_zhang_favor_3,npc_zhang_tieshan,favor,npc_zhang_tieshan_favor_3,1,npc_zhang_tieshan,dialogue_zhang_favor_3_001,
dialogue_zhang_favor_5,npc_zhang_tieshan,favor,npc_zhang_tieshan_favor_5,1,npc_zhang_tieshan,dialogue_zhang_favor_5_001,
dialogue_baizhi_default,npc_baizhi,default,always_true,1,npc_baizhi,dialogue_baizhi_default_001,
dialogue_baizhi_default,npc_baizhi,default,always_true,2,npc_baizhi,dialogue_baizhi_default_002,
dialogue_baizhi_quest_0101,npc_baizhi,quest,quest_main_0101_active,1,npc_baizhi,dialogue_main_0103_001,
dialogue_baizhi_quest_0101,npc_baizhi,quest,quest_main_0101_active,2,player,dialogue_main_0103_002,
dialogue_baizhi_quest_0101,npc_baizhi,quest,quest_main_0101_active,3,npc_baizhi,dialogue_main_0103_011,
dialogue_baizhi_order_visit,npc_baizhi,story,always_true,1,npc_baizhi,dialogue_baizhi_order_visit_001,
dialogue_baizhi_order_visit,npc_baizhi,story,always_true,2,player,dialogue_baizhi_order_visit_002,
dialogue_baizhi_order_visit,npc_baizhi,story,always_true,3,npc_baizhi,dialogue_baizhi_order_visit_003,
dialogue_baizhi_order_visit,npc_baizhi,story,always_true,4,npc_baizhi,dialogue_baizhi_order_visit_004,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,1,npc_baizhi,dialogue_baizhi_favor_2_001,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,2,player,dialogue_baizhi_favor_2_002,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,3,npc_baizhi,dialogue_baizhi_favor_2_003,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,4,player,dialogue_baizhi_favor_2_004,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,5,npc_baizhi,dialogue_baizhi_favor_2_005,
dialogue_baizhi_favor_2,npc_baizhi,favor,npc_baizhi_favor_2,6,player,dialogue_baizhi_favor_2_006,
dialogue_main_0205_herb_valley,npc_baizhi,quest,always_true,1,npc_baizhi,dialogue_main_0205_001,
dialogue_main_0205_herb_valley,npc_baizhi,quest,always_true,2,player,dialogue_main_0205_002,
dialogue_main_0205_herb_valley,npc_baizhi,quest,always_true,3,npc_baizhi,dialogue_main_0205_003,
dialogue_main_0205_herb_valley,npc_baizhi,quest,always_true,4,npc_baizhi,dialogue_main_0205_004,
dialogue_main_0205_herb_valley,npc_baizhi,quest,always_true,5,player,dialogue_main_0205_005,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,1,player,dialogue_main_0207_001,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,2,npc_baizhi,dialogue_main_0207_002,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,3,npc_baizhi,dialogue_main_0207_003,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,4,player,dialogue_main_0207_004,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,5,npc_baizhi,dialogue_main_0207_005,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,6,npc_hu_sihai,dialogue_main_0207_006,
dialogue_main_0207_baizhi_finish,npc_baizhi,quest,always_true,7,npc_baizhi,dialogue_main_0207_007,
