event_id,event_name_key,trigger_type,trigger_param,condition_group,execute_group,repeatable,priority
event_main_0001,event_name_main_0001,on_new_game,new_game,always_true,exec_start_quest_main_0001,false,100
event_main_0002,event_name_main_0002,on_item_collected,item_weed,weed_count_6,exec_step_main_0001_01,false,95
event_main_0003,event_name_main_0003,on_crop_harvest,crop_lingqi_bailuobo,first_bailuobo_harvest,exec_cutscene_well_glow,false,96
event_main_0004,event_name_main_0004,on_enter_area,area_town_main,day_2_or_more,exec_start_quest_main_0002,false,100
event_main_0005,event_name_main_0005,on_day_start,day_3_morning,has_first_harvest,exec_birth_first_spirit,false,100
event_main_0102,event_name_main_0102,on_build_complete,build_lingjing_001,quest_main_0101_active,exec_start_quest_main_0102,false,100
event_main_0103,event_name_main_0103,on_term_change,term_jingzhe,quest_main_0102_active,exec_spawn_first_pest,false,100
event_main_0104,event_name_main_0104,on_recipe_complete,item_tool_copper_hoe,quest_main_0102_step_1_done,exec_start_quest_main_0103,false,100
event_main_0106,event_name_main_0106,on_build_complete,build_broken_bridge_repair,quest_main_0103_ready_submit,exec_unlock_mine_entrance,false,100
event_main_0202,event_name_main_0202,on_shop_sales_reach,sales_category_3,quest_main_0201_active,exec_shop_tutorial_complete,false,90
event_main_0203,event_name_main_0203,on_shop_sales_reach,sales_total_800,quest_main_0201_step_2_done,exec_spawn_hu_sihai,false,95
event_main_0205,event_name_main_0205,on_item_collected,item_crop_quality_2plus_shihu,quest_main_0202_active,exec_unlock_herb_valley,false,100
event_main_0207,event_name_main_0207,on_boss_defeat,boss_shixiang_tengmu,quest_main_0202_active,exec_finish_herb_valley_baizhi,false,100
event_main_0301,event_name_main_0301,on_world_state,baizhi_chapter_2_finish,chapter_3_entry_ready,exec_start_quest_main_0301,false,100
event_main_0302,event_name_main_0302,on_world_state,spirit_manor_overview_unlocked,spirit_manor_overview_unlocked,exec_start_quest_main_0302,false,100
event_main_0303,event_name_main_0303,on_build_complete,build_spirit_manor,quest_main_0301_active,exec_unlock_spirit_overview,false,100
event_main_0305,event_name_main_0305,on_trade_complete,order_faction_0001,faction_order_first_delivered,exec_unlock_ruin_fire,false,100
event_main_0306,event_name_main_0306,on_enter_area,area_ruin_fire,fire_ruin_unlocked,exec_start_ruin_fire,false,100
event_main_0307,event_name_main_0307,on_boss_defeat,boss_chiyan_xiehou,quest_main_0302_active,exec_finish_fire_ruin,false,100
event_main_0401,event_name_main_0401,on_day_start,day_67,chapter_3_complete,exec_world_state_drought,false,100
event_main_0402,event_name_main_0402,on_trade_complete,order_disaster_0001,drought_relief_order_delivered,exec_start_quest_main_0402,false,100
event_main_0404,event_name_main_0404,on_item_collected,item_special_dinghai_shenzhu,quest_main_0402_active,exec_unlock_final_nest,false,100
event_main_0405,event_name_main_0405,on_boss_defeat,boss_shiling_mingmu,quest_main_0403_active,exec_start_final_array_cutscene,false,100
event_main_0406,event_name_main_0406,on_build_complete,build_solar_array_final,quest_main_0403_step_1_done,exec_unlock_final_planting,false,100
event_main_0407,event_name_main_0407,on_crop_harvest,item_crop_wannian_pantao,quest_main_0403_active,exec_final_banquet,false,100
event_term_jingzhe_01,event_name_term_jingzhe_01,on_term_change,term_jingzhe,always_true,exec_warn_pest,true,80
event_term_guyu_01,event_name_term_guyu_01,on_term_change,term_guyu,always_true,exec_apply_spirit_bonus_guyu,true,80
event_term_bailu_01,event_name_term_bailu_01,on_term_change,term_bailu,always_true,exec_enable_dew_collect,true,80
event_term_shuangjiang_01,event_name_term_shuangjiang_01,on_term_change,term_shuangjiang,always_true,exec_warn_frost,true,80
event_term_dongzhi_01,event_name_term_dongzhi_01,on_term_change,term_dongzhi,always_true,exec_open_winter_festival,true,80
event_shop_0001,event_name_shop_0001,on_build_complete,build_shop_lv1,always_true,exec_shop_open_tutorial,false,85
event_shop_0003,event_name_shop_0003,on_shop_sales_reach,sales_total_5000,shop_reputation_200,exec_unlock_shop_lv2,false,75
event_spirit_0001,event_name_spirit_0001,on_crop_spirit_birth,first_spirit,always_true,exec_unlock_spirit_ui,false,90
event_spirit_0004,event_name_spirit_0004,on_day_end,spirit_mood_low_3days,always_true,exec_spirit_strike,true,70
event_spirit_0005,event_name_spirit_0005,on_day_end,spirit_strike_7days,always_true,exec_spirit_runaway,true,70
