reward_id,npc_id,favor_level,reward_type,reward_param,reward_count,event_id
favor_reward_xubo_1,npc_xubo,1,scene,dialogue_xubo_favor_1,1,event_favor_xubo_1
favor_reward_xubo_2,npc_xubo,2,scene,dialogue_xubo_favor_2,1,event_favor_xubo_2
favor_reward_xubo_3,npc_xubo,3,building,build_shop_lv1_discount,1,event_favor_xubo_3
favor_reward_xubo_4,npc_xubo,4,discount,public_project_cost_down,10,event_favor_xubo_4
favor_reward_xubo_5,npc_xubo,5,quest,quest_final_xubo_support,1,event_favor_xubo_5
favor_reward_zhang_1,npc_zhang_tieshan,1,discount,tool_repair_discount,10,event_favor_zhang_1
favor_reward_zhang_2,npc_zhang_tieshan,2,recipe,recipe_tool_copper_set,1,event_favor_zhang_2
favor_reward_zhang_3,npc_zhang_tieshan,3,recipe,recipe_machine_wind_furnace,1,event_favor_zhang_3
favor_reward_zhang_4,npc_zhang_tieshan,4,scene,dialogue_zhang_favor_4,1,event_favor_zhang_4
favor_reward_zhang_5,npc_zhang_tieshan,5,quest,quest_final_zhang_support,1,event_favor_zhang_5
favor_reward_baizhi_1,npc_baizhi,1,discount,clinic_goods_discount,8,event_favor_baizhi_1
favor_reward_baizhi_2,npc_baizhi,2,quest,quest_main_0202_baizhi_zhiqiu,1,event_favor_baizhi_2
favor_reward_baizhi_3,npc_baizhi,3,recipe,recipe_garden_herb_advanced,1,event_favor_baizhi_3
favor_reward_baizhi_4,npc_baizhi,4,scene,dialogue_baizhi_favor_4,1,event_favor_baizhi_4
favor_reward_baizhi_5,npc_baizhi,5,quest,quest_final_baizhi_support,1,event_favor_baizhi_5
favor_reward_lu_1,npc_lu_sanxiao,1,scene,dialogue_lu_favor_1,1,event_favor_lu_1
favor_reward_lu_2,npc_lu_sanxiao,2,item,item_book_old_map,1,event_favor_lu_2
favor_reward_lu_3,npc_lu_sanxiao,3,recipe,recipe_tea_story_blend,1,event_favor_lu_3
favor_reward_lu_4,npc_lu_sanxiao,4,scene,dialogue_lu_favor_4,1,event_favor_lu_4
favor_reward_lu_5,npc_lu_sanxiao,5,quest,quest_final_lu_support,1,event_favor_lu_5
favor_reward_hu_1,npc_hu_sihai,1,scene,dialogue_hu_favor_1,1,event_favor_hu_1
favor_reward_hu_2,npc_hu_sihai,2,discount,market_fee_down,5,event_favor_hu_2
favor_reward_hu_3,npc_hu_sihai,3,quest,quest_trade_route_01,1,event_favor_hu_3
favor_reward_hu_4,npc_hu_sihai,4,scene,dialogue_hu_favor_4,1,event_favor_hu_4
favor_reward_hu_5,npc_hu_sihai,5,quest,quest_final_hu_support,1,event_favor_hu_5
favor_reward_atan_1,npc_atan,1,scene,dialogue_atan_favor_1,1,event_favor_atan_1
favor_reward_atan_2,npc_atan,2,recipe,recipe_deco_farm_basic,1,event_favor_atan_2
favor_reward_atan_3,npc_atan,3,building,build_spirit_manor,1,event_favor_atan_3
favor_reward_atan_4,npc_atan,4,scene,dialogue_atan_favor_4,1,event_favor_atan_4
favor_reward_atan_5,npc_atan,5,quest,quest_final_atan_support,1,event_favor_atan_5
favor_reward_qinghe_1,npc_qinghe,1,scene,dialogue_qinghe_favor_1,1,event_favor_qinghe_1
favor_reward_qinghe_2,npc_qinghe,2,item,item_tool_fishing_net,1,event_favor_qinghe_2
favor_reward_qinghe_3,npc_qinghe,3,scene,dialogue_qinghe_favor_3,1,event_favor_qinghe_3
favor_reward_qinghe_4,npc_qinghe,4,scene,dialogue_qinghe_favor_4,1,event_favor_qinghe_4
favor_reward_qinghe_5,npc_qinghe,5,quest,quest_final_qinghe_support,1,event_favor_qinghe_5
favor_reward_shen_1,npc_shen_gudeng,1,scene,dialogue_shen_favor_1,1,event_favor_shen_1
favor_reward_shen_2,npc_shen_gudeng,2,recipe,recipe_training_dummy,1,event_favor_shen_2
favor_reward_shen_3,npc_shen_gudeng,3,quest,quest_combat_trial_01,1,event_favor_shen_3
favor_reward_shen_4,npc_shen_gudeng,4,scene,dialogue_shen_favor_4,1,event_favor_shen_4
favor_reward_shen_5,npc_shen_gudeng,5,quest,quest_final_shen_support,1,event_favor_shen_5
