stage_id,bundle_id,stage_phase,trigger_condition_group,cutscene_id,ui_toast_key,effect_apply_timing,effect_target,effect_value,failover_rule,qa_check_key,note
stage_xubo_prep,support_bundle_xubo_final,prep,npc_xubo_favor_5,cutscene_final_support_ensemble,toast_support_xubo_prep,on_cutscene_beat,town_worker_capacity,12,show_default_worker_group,qa_final_support_xubo_prep,workers arrive
stage_xubo_ending,support_bundle_xubo_final,ending,npc_xubo_favor_5,cutscene_final_banquet,toast_support_xubo_ending,on_ending_flag,town_reputation,30,skip_if_not_unlocked,qa_final_support_xubo_ending,town elder payoff
stage_zhang_prep,support_bundle_zhang_final,prep,npc_zhang_tieshan_favor_5,cutscene_final_array_build,toast_support_zhang_prep,on_cutscene_beat,final_array_stability,0.18,show_generic_metal_core,qa_final_support_zhang_prep,metal core support
stage_zhang_battle,support_bundle_zhang_final,battle,npc_zhang_tieshan_favor_5,cutscene_boss_mingmu_intro,toast_support_zhang_battle,on_boss_start,final_array_damage_reduce,0.10,none,qa_final_support_zhang_battle,boss phase support
stage_baizhi_prep,support_bundle_baizhi_final,prep,npc_baizhi_favor_5,cutscene_final_array_build,toast_support_baizhi_prep,on_cutscene_beat,team_revive_window,8,show_generic_heal_matrix,qa_final_support_baizhi_prep,heal matrix support
stage_baizhi_battle,support_bundle_baizhi_final,battle,npc_baizhi_favor_5,cutscene_boss_mingmu_intro,toast_support_baizhi_battle,on_player_low_hp,emergency_heal_count,1,none,qa_final_support_baizhi_battle,emergency heal
stage_lu_prep,support_bundle_lu_final,prep,npc_lu_sanxiao_favor_4,cutscene_final_array_build,toast_support_lu_prep,on_qte_start,array_qte_slowdown,0.25,show_generic_record_scroll,qa_final_support_lu_prep,qte knowledge support
stage_hu_prep,support_bundle_hu_final,prep,npc_hu_sihai_favor_5,cutscene_final_support_ensemble,toast_support_hu_prep,on_cutscene_beat,final_order_stock_bonus,0.30,show_generic_supply_pack,qa_final_support_hu_prep,supply support
stage_hu_ending,support_bundle_hu_final,ending,npc_hu_sihai_favor_5,cutscene_final_banquet,toast_support_hu_ending,on_ending_flag,trade_route_discount,0.08,skip_if_not_unlocked,qa_final_support_hu_ending,year2 trade discount
stage_atan_prep,support_bundle_atan_final,prep,npc_atan_favor_5,cutscene_final_support_ensemble,toast_support_atan_prep,on_cutscene_beat,work_area_capacity,6,show_generic_wood_frame,qa_final_support_atan_prep,outer frame support
stage_atan_ending,support_bundle_atan_final,ending,npc_atan_favor_5,cutscene_final_banquet,toast_support_atan_ending,on_second_year_unlock,build_decorate_discount,0.05,skip_if_not_unlocked,qa_final_support_atan_ending,year2 build support
stage_qinghe_prep,support_bundle_qinghe_final,prep,npc_qinghe_favor_5,cutscene_final_array_build,toast_support_qinghe_prep,on_cutscene_beat,irrigation_chain_efficiency,0.22,show_generic_water_channel,qa_final_support_qinghe_prep,waterline support
stage_qinghe_battle,support_bundle_qinghe_final,battle,npc_qinghe_favor_5,cutscene_boss_mingmu_intro,toast_support_qinghe_battle,on_area_hazard,fire_hazard_reduce,0.15,none,qa_final_support_qinghe_battle,hazard support
stage_shen_prep,support_bundle_shen_final,prep,npc_shen_gudeng_favor_5,cutscene_final_support_ensemble,toast_support_shen_prep,on_departure,escort_damage_reduction,0.20,show_generic_guard_line,qa_final_support_shen_prep,escort support
stage_shen_battle,support_bundle_shen_final,battle,npc_shen_gudeng_favor_5,cutscene_boss_mingmu_intro,toast_support_shen_battle,on_boss_phase_change,enemy_spawn_delay,3,none,qa_final_support_shen_battle,boss add delay
stage_full_resonance,support_bundle_full_resonance,prep,quest_main_0403_active,cutscene_final_support_ensemble,toast_support_full_resonance,on_all_support_ready,all_final_support_bonus,1.00,disable_if_less_than_four_support,qa_final_support_full,full resonance
