item_id,item_name_key,item_type,rarity,stack_limit,sell_price_base,buy_price_base,quality_support,freshness_days,icon_id,desc_key,tags
seed_lingqi_bailuobo,item_name_seed_lingqi_bailuobo,seed,1,99,0,10,false,0,icon_seed_luobo,desc_seed_luobo,"seed|spring|earth"
seed_qingya_baicai,item_name_seed_qingya_baicai,seed,1,99,0,14,false,0,icon_seed_baicai,desc_seed_baicai,"seed|spring|wood"
seed_luzhu_qin,item_name_seed_luzhu_qin,seed,1,99,0,18,false,0,icon_seed_luzhu_qin,desc_seed_luzhu_qin,"seed|spring|water|canal_unlock"
seed_tiepi_shihu,item_name_seed_tiepi_shihu,seed,2,99,0,40,false,0,icon_seed_shihu,desc_seed_shihu,"seed|spring|herb"
seed_mangzhong_maisui,item_name_seed_mangzhong_maisui,seed,1,99,0,30,false,0,icon_seed_mai,desc_seed_mai,"seed|summer|grain"
seed_chiyan_zhushaguo,item_name_seed_chiyan_zhushaguo,seed,3,99,0,120,false,0,icon_seed_zhusha,desc_seed_zhusha,"seed|summer|fire"
seed_qingshui_hulu,item_name_seed_qingshui_hulu,seed,2,99,0,46,false,0,icon_seed_qingshui_hulu,desc_seed_qingshui_hulu,"seed|summer|water|relief"
seed_jinsui_yumi,item_name_seed_jinsui_yumi,seed,2,99,0,52,false,0,icon_seed_jinsui_yumi,desc_seed_jinsui_yumi,"seed|autumn|grain|relief"
seed_shuihang_lianshi,item_name_seed_shuihang_lianshi,seed,3,99,0,88,false,0,icon_seed_shuihang_lianshi,desc_seed_shuihang_lianshi,"seed|summer|water|year2|pond"
seed_guyu_chaya,item_name_seed_guyu_chaya,seed,2,99,0,55,false,0,icon_seed_chaya,desc_seed_guyu_chaya,"seed|spring|tea"
seed_yinling_liuyuncao,item_name_seed_yinling_liuyuncao,seed,2,99,0,60,false,0,icon_seed_liuyuncao,desc_seed_yinling_liuyuncao,"seed|spring|cloth|wind"
seed_penhuo_xiaolajiao,item_name_seed_penhuo_xiaolajiao,seed,1,99,0,25,false,0,icon_seed_lajiao,desc_seed_penhuo_xiaolajiao,"seed|summer|fire"
seed_yuewen_huanggua,item_name_seed_yuewen_huanggua,seed,2,99,0,45,false,0,icon_seed_huanggua,desc_seed_yuewen_huanggua,"seed|summer|water|fresh"
seed_hedeng_lianzi,item_name_seed_hedeng_lianzi,seed,3,99,0,80,false,0,icon_seed_hedeng_lianzi,desc_seed_hedeng_lianzi,"seed|summer|water|festival"
seed_shuangtang_nangua,item_name_seed_shuangtang_nangua,seed,2,99,0,38,false,0,icon_seed_nangua,desc_seed_shuangtang_nangua,"seed|autumn|dessert"
seed_shanli_lingshu,item_name_seed_shanli_lingshu,seed,1,99,0,28,false,0,icon_seed_lingshu,desc_seed_shanli_lingshu,"seed|autumn|staple"
seed_qiusui_zhima,item_name_seed_qiusui_zhima,seed,2,99,0,62,false,0,icon_seed_zhima,desc_seed_qiusui_zhima,"seed|autumn|oil"
seed_xuanxiang_dao,item_name_seed_xuanxiang_dao,seed,3,99,0,70,false,0,icon_seed_xuanxiang_dao,desc_seed_xuanxiang_dao,"seed|autumn|brew|premium"
seed_bailu_yiner,item_name_seed_bailu_yiner,seed,3,99,0,85,false,0,icon_seed_bailu_yiner,desc_seed_bailu_yiner,"seed|autumn|premium|healer"
seed_xuewen_luoman,item_name_seed_xuewen_luoman,seed,1,99,0,30,false,0,icon_seed_luoman,desc_seed_xuewen_luoman,"seed|winter|plain"
seed_hanyu_baicai,item_name_seed_hanyu_baicai,seed,2,99,0,52,false,0,icon_seed_hanyu_baicai,desc_seed_hanyu_baicai,"seed|winter|water"
seed_binglu_bohe,item_name_seed_binglu_bohe,seed,2,99,0,66,false,0,icon_seed_bohe,desc_seed_binglu_bohe,"seed|winter|water|herb"
seed_xuehuo_lingjiang,item_name_seed_xuehuo_lingjiang,seed,2,99,0,58,false,0,icon_seed_lingjiang,desc_seed_xuehuo_lingjiang,"seed|winter|fire|herb"
seed_xuanshuang_lanmei,item_name_seed_xuanshuang_lanmei,seed,3,99,0,90,false,0,icon_seed_lanmei,desc_seed_xuanshuang_lanmei,"seed|winter|premium|dessert"
seed_dongcang_yaoshen,item_name_seed_dongcang_yaoshen,seed,4,99,0,130,false,0,icon_seed_yaoshen,desc_seed_dongcang_yaoshen,"seed|winter|herb|legend"
crop_lingqi_bailuobo,item_name_crop_lingqi_bailuobo,crop,1,99,18,0,true,2,icon_crop_luobo,desc_crop_luobo,"crop|food|earth"
crop_qingya_baicai,item_name_crop_qingya_baicai,crop,1,99,30,0,true,2,icon_crop_baicai,desc_crop_baicai,"crop|food|wood"
crop_luzhu_qin,item_name_crop_luzhu_qin,crop,1,99,42,0,true,2,icon_crop_luzhu_qin,desc_crop_luzhu_qin,"crop|food|water|refreshing"
crop_tiepi_shihu,item_name_crop_tiepi_shihu,crop,2,99,100,0,true,3,icon_crop_shihu,desc_crop_shihu,"crop|herb|wood"
item_crop_quality_2plus_shihu,item_name_crop_quality_2plus_shihu,special,3,99,0,0,false,0,icon_crop_shihu,desc_crop_quality_2plus_shihu,"quest|herb|quality|clinic"
crop_guyu_chaya,item_name_crop_guyu_chaya,crop,2,99,135,0,true,3,icon_crop_chaya,desc_crop_chaya,"crop|tea|wood"
crop_mangzhong_maisui,item_name_crop_mangzhong_maisui,crop,1,99,82,0,true,4,icon_crop_mai,desc_crop_mai,"crop|grain|earth"
crop_chiyan_zhushaguo,item_name_crop_chiyan_zhushaguo,crop,3,99,360,0,true,4,icon_crop_zhusha,desc_crop_zhusha,"crop|fire|alchemy"
crop_qingshui_hulu,item_name_crop_qingshui_hulu,crop,2,99,105,0,true,3,icon_crop_qingshui_hulu,desc_crop_qingshui_hulu,"crop|water_food|refreshing|summer|relief"
crop_jinsui_yumi,item_name_crop_jinsui_yumi,crop,2,99,118,0,true,4,icon_crop_jinsui_yumi,desc_crop_jinsui_yumi,"crop|grain|staple|autumn|relief"
crop_yinling_liuyuncao,item_name_crop_yinling_liuyuncao,crop,2,99,160,0,true,4,icon_crop_liuyuncao,desc_crop_yinling_liuyuncao,"crop|cloth|wind|spring"
crop_penhuo_xiaolajiao,item_name_crop_penhuo_xiaolajiao,crop,1,99,55,0,true,4,icon_crop_lajiao,desc_crop_penhuo_xiaolajiao,"crop|spice|fire|summer"
