text_key,text_type,zh_cn,note
item_name_seed_qingya_baicai,name,青芽白菜种子,早期作物
item_name_crop_qingya_baicai,name,青芽白菜,早期作物
item_name_food_qingchao_baicai,name,清炒白菜,早期菜品
desc_food_qingchao_baicai,desc,青芽白菜快火清炒，适合薄利多销的旧铺早市。,早期菜品描述
order_name_demo_0001,order_name,旧铺早市白菜单,Demo订单
item_name_seed_luzhu_qin,name,露珠芹种子,修渠后解锁种子
desc_seed_luzhu_qin,desc,灵渠复流后最先泛青的水润菜种，脆嫩带露气。,修渠后种子描述
item_name_crop_luzhu_qin,name,露珠芹,修渠后作物
desc_crop_luzhu_qin,desc,沾着清渠水气的嫩芹，最适合做清口凉菜。,修渠后作物描述
item_name_seed_tiepi_shihu,name,铁皮石斛种子,白芷委托药材种子
desc_seed_shihu,desc,白芷点名要的石斛苗种，得种得稳、养得净，才配进医馆后室的药案。,石斛种子描述
item_name_crop_tiepi_shihu,name,铁皮石斛,第二章药材作物
desc_crop_shihu,desc,纤长坚韧的药藤，入口清苦，回气极慢，最怕急着赶熟。,石斛作物描述
item_name_crop_quality_2plus_shihu,name,良品铁皮石斛,白芷委托高品质药材
desc_crop_quality_2plus_shihu,desc,从一批石斛里细细拣出的净品，药性稳、杂气少，白芷只认这样的货。,石斛委托品质物
item_name_food_liangban_lingqin,name,凉拌灵芹,修渠后菜品
desc_food_liangban_lingqin,desc,露珠芹拌净水和薄盐，入口清脆，是灵渠复流后的第一口凉润。,修渠后菜品描述
recipe_name_liangban_lingqin,recipe_name,凉拌灵芹,修渠后配方
recipe_name_zhixue_san,recipe_name,止血散,石斛基础药方
recipe_name_tool_copper_set,recipe_name,铜锄锻造,第一章通火初鸣的铜锄工具配方
recipe_name_shihu_huiyuan_san,recipe_name,石斛回元散,白芷线中阶药方
item_name_med_zhixue_san,name,止血散,石斛基础成药
desc_med_zhixue,desc,以铁皮石斛调净水慢火化开，药性不烈，却能稳稳压住伤口里的乱气。,止血散描述
item_name_med_huiyuan_san,name,石斛回元散,白芷线中阶成药
desc_med_huiyuan,desc,石斛与冰露薄荷一同碾开，先止虚浮，再把人慢慢从亏空里拉回来。,回元散描述
item_name_special_baicao_mulu,name,百草母露,第二章Boss关键药材
desc_special_baicao_mulu,desc,噬香藤母根心凝出的清露，轻得像一滴水，却能把瘴藤毒的病根慢慢压回去。,百草母露描述
item_name_wood_basic,name,朽木,基础建材
desc_wood_basic,desc,从洞天旧篱和枯枝里收来的木料，修得起第一批棚架，也撑得住一点新日子。,基础建材描述
item_name_stone_basic,name,碎石,基础建材
desc_stone_basic,desc,清理灵田时翻出的石块，打磨后能垫墙脚和井沿。,基础建材描述
item_name_ore_iron,name,粗铁矿,矿材
desc_ore_iron,desc,后山矿脉里最常见的铁矿，火候足了就能敲成可靠的构件。,矿材描述
item_name_ore_iron_raw,name,生铁矿,矿材
item_name_metal_xuantie,name,玄铁,第三章建材
desc_metal_xuantie,desc,比粗铁更沉的黑色矿材，适合给百怪大院打承重骨架。,第三章建材描述
item_name_cloth_liuyunsi,name,流云丝,第三章建材
