pool_id,entry_index,item_id,min_count,max_count,weight,condition_group
loot_pool_mine_common,1,item_ore_copper,1,3,40,always_true
loot_pool_mine_common,2,item_ore_iron,1,2,25,chapter_1_bridge_complete
loot_pool_mine_common,3,item_stone_spirit_shard,1,1,15,always_true
loot_pool_mine_common,4,item_coal_raw,1,2,20,always_true
loot_pool_mine_rare,1,item_gem_smoky,1,1,25,always_true
loot_pool_mine_rare,2,item_ore_silver,1,2,20,chapter_2_or_more
loot_pool_mine_rare,3,item_tool_fragment_old,1,1,15,always_true
loot_pool_herb_common,1,item_herb_shihu,1,2,35,always_true
loot_pool_herb_common,2,item_herb_lingzhi,1,2,25,chapter_2_or_more
loot_pool_herb_common,3,item_material_spore_sac,1,2,20,always_true
loot_pool_herb_common,4,item_water_dew_core,1,1,10,current_term_bailu
loot_pool_fire_common,1,item_ore_fire_crystal,1,2,30,always_true
loot_pool_fire_common,2,item_material_scorch_shell,1,2,25,always_true
loot_pool_fire_common,3,item_seed_lajiao,1,2,20,chapter_3_or_more
loot_pool_fire_common,4,item_special_fire_essence,1,1,10,boss_chiyan_xiehou_defeated
loot_pool_final_common,1,item_material_void_chitin,1,2,30,always_true
loot_pool_final_common,2,item_material_purify_powder,1,2,20,npc_baizhi_favor_3
loot_pool_final_common,3,item_special_dinghai_shenzhu,1,1,5,quest_main_0402_active
loot_pool_final_common,4,item_seed_pantao,1,1,3,quest_main_0403_active
