schedule_id,npc_id,season,solar_term,weather_tag,time_start,time_end,area_id,action_type,action_param
schedule_xubo_spring_morning,npc_xubo,spring,all,all,360,660,area_town_hall,work,town_affairs
schedule_xubo_spring_noon,npc_xubo,spring,all,all,660,900,area_town_main,walk,inspect_bridge_and_stalls
schedule_xubo_spring_evening,npc_xubo,spring,all,all,900,1260,area_town_hall,idle,public_meeting
schedule_xubo_drought,npc_xubo,all,all,all,360,1260,area_town_well,work,drought_relief
schedule_zhang_workday,npc_zhang_tieshan,all,all,all,390,720,area_blacksmith,work,forge_tools
schedule_zhang_afternoon,npc_zhang_tieshan,all,all,all,720,1020,area_blacksmith,work,upgrade_orders
schedule_zhang_night,npc_zhang_tieshan,all,all,all,1020,1260,area_blacksmith,idle,drink_and_repair
schedule_baizhi_morning,npc_baizhi,all,all,all,360,720,area_clinic,work,clinic_diagnosis
schedule_baizhi_afternoon,npc_baizhi,all,all,all,720,1020,area_clinic,work,medicine_brewing
schedule_baizhi_drought,npc_baizhi,all,all,all,360,1260,area_clinic,work,emergency_treatment
schedule_lu_spring_day,npc_lu_sanxiao,spring,all,clear,540,840,area_teahouse,talk,storytelling
schedule_lu_evening,npc_lu_sanxiao,all,all,all,840,1140,area_town_main,walk,collect_rumors
schedule_lu_dongzhi,npc_lu_sanxiao,winter,term_dongzhi,all,600,1140,area_festival_ground,festival,host_festival_story
schedule_hu_trade_day,npc_hu_sihai,all,all,clear,600,900,area_market_guest,work,open_trade_booth
schedule_hu_travel_day,npc_hu_sihai,all,all,all,900,1260,area_town_gate,walk,leave_for_route
schedule_hu_chapter2_before,npc_hu_sihai,all,all,all,600,1260,area_none,idle,not_spawned_before_ch2
schedule_atan_morning,npc_atan,all,all,all,420,720,area_carpenter,work,woodworking
schedule_atan_afternoon,npc_atan,all,all,all,720,1020,area_farm_mid,walk,check_build_sites
schedule_atan_evening,npc_atan,all,all,all,1020,1260,area_carpenter,idle,sketch_furniture
schedule_qinghe_morning,npc_qinghe,all,all,clear,330,660,area_riverbank,work,fish_and_water_check
schedule_qinghe_bailu,npc_qinghe,autumn,term_bailu,all,330,780,area_riverbank,work,dew_collection_teach
schedule_qinghe_afternoon,npc_qinghe,all,all,all,780,1080,area_old_canal,walk,inspect_waterline
schedule_shen_morning,npc_shen_gudeng,all,all,all,420,720,area_guest_inn,idle,meditation
schedule_shen_afternoon,npc_shen_gudeng,all,all,clear,720,1020,area_training_slope,work,sword_drill
schedule_shen_evening,npc_shen_gudeng,all,all,all,1020,1260,area_guest_inn,talk,quiet_conversation
schedule_system_hidden,npc_system,all,all,all,0,1440,area_none,idle,system_only
