quest_id,quest_name_key,quest_type,chapter,issuer_id,auto_accept,repeatable,time_limit_day,priority,quest_desc_key,complete_reward_group
quest_main_0001_luojiao_zhidi,quest_name_main_0001,main,0,npc_system,true,false,0,100,quest_main_0001_desc,pool_reward_main_0001
quest_main_0002_fanxian_zhenlulai,quest_name_main_0002,main,0,npc_xubo,true,false,0,95,quest_main_0002_desc,pool_reward_main_0002
quest_main_0101_lingjing_huisheng,quest_name_main_0101,main,1,npc_xubo,true,false,0,100,quest_main_0101_desc,pool_reward_main_0101
quest_main_0102_tonghuo_chuming,quest_name_main_0102,main,1,npc_zhang_tieshan,true,false,0,96,quest_main_0102_desc,pool_reward_main_0102
quest_main_0103_duanqiao_jiumu,quest_name_main_0103,main,1,npc_xubo,true,false,0,98,quest_main_0103_desc,pool_reward_main_0103
quest_main_0201_jiupu_kaimen,quest_name_main_0201,main,2,npc_xubo,true,false,0,100,quest_main_0201_desc,pool_reward_main_0201
quest_main_0202_baizhi_zhiqiu,quest_name_main_0202,main,2,npc_baizhi,false,false,0,94,quest_main_0202_desc,pool_reward_main_0202
quest_main_0301_baiguai_youyuan,quest_name_main_0301,main,3,npc_atan,true,false,0,100,quest_main_0301_desc,pool_reward_main_0301
quest_main_0302_shanghui_laike,quest_name_main_0302,main,3,npc_hu_sihai,false,false,0,90,quest_main_0302_desc,pool_reward_main_0302
quest_main_0401_jiuyao_dahan,quest_name_main_0401,main,4,npc_xubo,true,false,0,100,quest_main_0401_desc,pool_reward_main_0401
quest_main_0402_ershisi_shu,quest_name_main_0402,main,4,npc_lu_sanxiao,true,false,0,100,quest_main_0402_desc,pool_reward_main_0402
quest_main_0403_pantao_dayan,quest_name_main_0403,main,4,npc_system,true,false,0,100,quest_main_0403_desc,pool_reward_main_0403
