step_id,quest_id,step_index,objective_type,target_id,target_count,area_id,solar_term_condition,pre_step_id,complete_event_id
step_main_0001_01,quest_main_0001_luojiao_zhidi,1,collect,item_weed,6,area_farm_start,,,event_main_0002
step_main_0001_02,quest_main_0001_luojiao_zhidi,2,plant,seed_lingqi_bailuobo,3,area_farm_start,,step_main_0001_01,event_main_0003
step_main_0001_03,quest_main_0001_luojiao_zhidi,3,sleep,day_sleep,1,area_house_start,,step_main_0001_02,event_main_0004
step_main_0002_01,quest_main_0002_fanxian_zhenlulai,1,enter_area,area_town_main,1,area_town_main,,,event_main_0004
step_main_0002_02,quest_main_0002_fanxian_zhenlulai,2,talk,npc_xubo,1,area_town_main,,step_main_0002_01,
step_main_0002_03,quest_main_0002_fanxian_zhenlulai,3,talk,npc_zhang_tieshan,1,area_blacksmith,,step_main_0002_02,event_main_0005
step_main_0101_01,quest_main_0101_lingjing_huisheng,1,collect,item_wood_basic,20,area_farm_start,,, 
step_main_0101_02,quest_main_0101_lingjing_huisheng,2,collect,item_stone_basic,10,area_farm_start,,step_main_0101_01,
step_main_0101_03,quest_main_0101_lingjing_huisheng,3,build,build_lingjing_001,1,area_farm_start,,step_main_0101_02,event_main_0102
step_main_0102_01,quest_main_0102_tonghuo_chuming,1,defeat,event_pest_basic,10,area_farm_start,term_jingzhe,,event_main_0103
step_main_0102_02,quest_main_0102_tonghuo_chuming,2,craft,item_tool_copper_hoe,1,area_blacksmith,,step_main_0102_01,event_main_0104
step_main_0103_01,quest_main_0103_duanqiao_jiumu,1,collect,item_wood_basic,50,area_farm_start,,, 
step_main_0103_02,quest_main_0103_duanqiao_jiumu,2,collect,item_ore_iron_raw,10,area_mine_entrance,,step_main_0103_01,
step_main_0103_03,quest_main_0103_duanqiao_jiumu,3,collect,item_gold_generic,2000,area_town_main,,step_main_0103_02,
step_main_0103_04,quest_main_0103_duanqiao_jiumu,4,build,build_broken_bridge_repair,1,area_bridge_backhill,,step_main_0103_03,event_main_0106
step_main_0201_01,quest_main_0201_jiupu_kaimen,1,build,build_shop_lv1,1,area_shop_old,,, 
step_main_0201_02,quest_main_0201_jiupu_kaimen,2,sell,item_shop_category_3,3,area_shop_old,,step_main_0201_01,event_main_0202
step_main_0201_03,quest_main_0201_jiupu_kaimen,3,sell,item_shop_sales_total,800,area_shop_old,,step_main_0201_02,event_main_0203
step_main_0202_01,quest_main_0202_baizhi_zhiqiu,1,harvest,crop_tiepi_shihu,5,area_farm_start,,, 
step_main_0202_02,quest_main_0202_baizhi_zhiqiu,2,favor,npc_baizhi,2,area_clinic,,step_main_0202_01,
step_main_0202_03,quest_main_0202_baizhi_zhiqiu,3,collect,item_crop_quality_2plus_shihu,5,area_farm_start,,step_main_0202_02,event_main_0205
step_main_0202_04,quest_main_0202_baizhi_zhiqiu,4,defeat,boss_shixiang_tengmu,1,area_herb_valley,,step_main_0202_03,event_main_0207
step_main_0301_01,quest_main_0301_baiguai_youyuan,1,collect,item_metal_xuantie,20,area_mine_mid,,, 
step_main_0301_02,quest_main_0301_baiguai_youyuan,2,collect,item_cloth_liuyunsi,30,area_workshop,,step_main_0301_01,
step_main_0301_03,quest_main_0301_baiguai_youyuan,3,collect,item_gold_generic,12000,area_town_main,,step_main_0301_02,
step_main_0301_04,quest_main_0301_baiguai_youyuan,4,build,build_spirit_manor,1,area_farm_mid,,step_main_0301_03,event_main_0303
step_main_0302_01,quest_main_0302_shanghui_laike,1,sell,order_faction_0001,1,area_shop_old,,,event_main_0305
step_main_0302_02,quest_main_0302_shanghui_laike,2,enter_area,area_ruin_fire,1,area_ruin_fire,,step_main_0302_01,event_main_0306
step_main_0302_03,quest_main_0302_shanghui_laike,3,defeat,boss_chiyan_xiehou,1,area_ruin_fire,,step_main_0302_02,event_main_0307
step_main_0401_01,quest_main_0401_jiuyao_dahan,1,enter_area,world_state_drought,1,area_town_main,,,event_main_0401
step_main_0401_02,quest_main_0401_jiuyao_dahan,2,collect,item_water_supply_relief,10,area_farm_start,,step_main_0401_01,
step_main_0402_01,quest_main_0402_ershisi_shu,1,collect,item_spirit_core_4,4,area_world,,, 
step_main_0402_02,quest_main_0402_ershisi_shu,2,collect,item_special_huojing,1,area_ruin_fire,,step_main_0402_01,
step_main_0402_03,quest_main_0402_ershisi_shu,3,collect,item_special_dinghai_shenzhu,1,area_final_nest,,step_main_0402_02,event_main_0404
step_main_0403_01,quest_main_0403_pantao_dayan,1,defeat,boss_shiling_mingmu,1,area_final_nest,,,event_main_0405
step_main_0403_02,quest_main_0403_pantao_dayan,2,build,build_solar_array_final,1,area_farm_core,,step_main_0403_01,event_main_0406
step_main_0403_03,quest_main_0403_pantao_dayan,3,plant,item_seed_wannian_pantao,1,area_farm_core,,step_main_0403_02,
step_main_0403_04,quest_main_0403_pantao_dayan,4,harvest,item_crop_wannian_pantao,1,area_farm_core,,step_main_0403_03,event_main_0407
