recipe_id,recipe_name_key,recipe_type,machine_type,input_item_ids,input_item_counts,output_item_id,output_count,base_process_time,quality_rule,unlock_type,unlock_param,sell_value_weight,fx_id
recipe_bailuobo_tang,recipe_name_bailuobo_tang,food,kitchen,"crop_lingqi_bailuobo|crop_lingqi_bailuobo","2|1",item_food_bailuobo_tang,1,45,avg,default,,1.25,fx_cook_steam
recipe_qingchao_baicai,recipe_name_qingchao_baicai,food,kitchen,"crop_qingya_baicai","2",item_food_qingchao_baicai,1,50,avg,default,,1.20,fx_cook_pan
recipe_liangban_lingqin,recipe_name_liangban_lingqin,food,kitchen,"crop_luzhu_qin|item_material_clean_water","2|1",item_food_liangban_lingqin,1,55,avg,repair,repair,1.35,fx_cook_cold
recipe_water_crop_intro,recipe_name_water_crop_intro,food,kitchen,"item_fish_spiritling|crop_luzhu_qin|item_material_clean_water","1|1|1",item_food_qingbo_yukuai,1,65,avg,quest,quest_side_0205_qinghe_pond,1.55,fx_cook_water
recipe_lingchi_sanxian_geng,recipe_name_lingchi_sanxian_geng,food,kitchen,"item_fish_spiritling|crop_luzhu_qin|crop_yuewen_huanggua|item_material_clean_water","1|1|1|1",item_food_lingchi_sanxian_geng,1,85,avg,completed,qingbo_water_fresh_signature_line,1.62,fx_cook_water
recipe_plain_ration,recipe_name_plain_ration,food,kitchen,"crop_mangzhong_maisui|item_material_clean_water","2|1",item_food_plain_ration,2,50,avg,default,,1.15,fx_cook_steam
recipe_zhixue_san,recipe_name_zhixue_san,medicine,alchemy,"crop_tiepi_shihu|item_material_clean_water","2|1",item_med_zhixue_san,1,70,weighted,quest,quest_main_0102_tonghuo_chuming,1.45,fx_alchemy_green
recipe_cu_mianfen,recipe_name_cu_mianfen,material,mill,"crop_mangzhong_maisui","2",item_material_cu_mianfen,1,40,fixed,default,,1.10,fx_mill_dust
recipe_mianbing,recipe_name_mianbing,food,kitchen,"item_material_cu_mianfen|item_material_clean_water","1|1",item_food_mianbing,1,60,avg,default,,1.35,fx_cook_basic
recipe_lingcha,recipe_name_lingcha,drink,kitchen,"crop_guyu_chaya|item_material_clean_water","2|1",item_drink_lingcha,1,80,weighted,npc_favor,npc_lu_sanxiao_favor_2,1.35,fx_tea_steam
recipe_shihu_huiyuan_san,recipe_name_shihu_huiyuan_san,medicine,alchemy,"crop_tiepi_shihu|crop_binglu_bohe","2|1",item_med_huiyuan_san,1,90,weighted,npc_favor,npc_baizhi_favor_3,1.50,fx_alchemy_heal
recipe_lajiang,recipe_name_lajiang,food,kitchen,"crop_penhuo_xiaolajiao|item_material_oil_base","2|1",item_food_lajiang,1,55,avg,default,,1.30,fx_cook_spicy
recipe_yunsi_bujuan,recipe_name_yunsi_bujuan,cloth,loom,"crop_yinling_liuyuncao","2",item_cloth_yunsi_bujuan,1,100,highest,building,build_loom_001,1.50,fx_loom_light
recipe_liuyun_niang,recipe_name_liuyun_niang,drink,vat,"crop_xuanxiang_dao|crop_yinling_liuyuncao","2|1",item_drink_liuyun_niang,1,120,weighted,quest,quest_main_0201_jiupu_kaimen,1.60,fx_brew_cloud
recipe_helu_tangshui,recipe_name_helu_tangshui,drink,kitchen,"crop_hedeng_lianzi|crop_luzhu_qin","2|1",item_drink_helu_tangshui,1,110,avg,festival,festival_summer_market,1.65,fx_drink_water
recipe_helu_tangshui_shuihang,recipe_name_helu_tangshui_shuihang,drink,kitchen,"crop_water_lotus_seed|crop_luzhu_qin|item_material_clean_water","1|1|1",item_drink_helu_tangshui,1,95,avg,chapter,year2_qinghe_waterway_ready,1.72,fx_drink_water
recipe_ningshen_yulu,recipe_name_ningshen_yulu,medicine,alchemy,"crop_bailu_yiner|crop_binglu_bohe","2|1",item_med_ningshen_yulu,1,140,weighted,npc_favor,npc_baizhi_favor_4,1.70,fx_alchemy_blue
recipe_zhima_lingyou,recipe_name_zhima_lingyou,material,kitchen,"crop_qiusui_zhima","2",item_material_zhima_lingyou,1,100,highest,default,,1.55,fx_oil_press
recipe_xuanxiang_lingniang,recipe_name_xuanxiang_lingniang,drink,vat,"crop_xuanxiang_dao|crop_hedeng_lianzi","2|1",item_drink_xuanxiang_lingniang,1,150,weighted,building,build_vat_002,1.75,fx_brew_gold
recipe_chiyan_huxinwan,recipe_name_chiyan_huxinwan,medicine,alchemy,"crop_chiyan_zhushaguo|crop_xuehuo_lingjiang","2|1",item_med_chiyan_huxinwan,1,160,weighted,chapter,chapter_4,1.85,fx_alchemy_fire
recipe_bazhen_lingshan,recipe_name_bazhen_lingshan,food,kitchen,"crop_hanyu_baicai|crop_xuanshuang_lanmei|item_material_zhima_lingyou","1|1|1",item_food_bazhen_lingshan,1,180,weighted,festival,festival_winter_ritual,1.90,fx_feast
recipe_yunjin_lijuan,recipe_name_yunjin_lijuan,cloth,loom,"item_cloth_yunsi_bujuan|item_material_zhima_lingyou","1|1",item_gift_yunjin_lijuan,1,150,highest,building,build_loom_001,1.85,fx_loom_gold
recipe_jiuzhuan_xumingdan,recipe_name_jiuzhuan_xumingdan,medicine,alchemy,"crop_dongcang_yaoshen|item_crop_jiuye_ninglucao|item_special_huojing","1|1|1",item_med_jiuzhuan_xumingdan,1,220,weighted,npc_favor,npc_baizhi_favor_5,2.10,fx_alchemy_legend
recipe_trade_cloud_box,recipe_name_trade_cloud_box,material,loom,"item_cloth_yunsi_bujuan|item_wood_basic","1|2",item_trade_cloud_box,1,120,highest,npc_favor,npc_hu_sihai_favor_4,1.50,fx_loom_gold
recipe_build_beam_hardwood,recipe_name_build_beam_hardwood,material,furnace,"item_wood_basic|item_material_zhima_lingyou","4|1",item_build_beam_hardwood,1,110,highest,quest,quest_main_0403_pantao_dayan,1.25,fx_forge_fire
recipe_patrol_ration,recipe_name_patrol_ration,food,kitchen,"item_food_plain_ration|crop_jinsui_yumi","1|1",item_patrol_ration,1,70,avg,npc_favor,npc_shen_gudeng_favor_4,1.40,fx_cook_pan
recipe_signal_flare,recipe_name_signal_flare,tool,furnace,"crop_penhuo_xiaolajiao|item_metal_xuantie|item_material_oil_base","1|1|1",item_tool_signal_flare,1,95,highest,npc_favor,npc_shen_gudeng_favor_5,1.60,fx_forge_fire
recipe_tea_story_blend,recipe_name_tea_story_blend,drink,kitchen,"crop_guyu_chaya|item_drink_lingcha|crop_bailu_yiner","1|1|1",item_tea_story_blend,1,105,weighted,npc_favor,npc_lu_sanxiao_favor_4,1.55,fx_drink_water
recipe_festival_mooncake,recipe_name_festival_mooncake,food,kitchen,"crop_hedeng_lianzi|item_material_cu_mianfen|item_material_zhima_lingyou","1|1|1",item_food_festival_mooncake,1,130,weighted,npc_favor,npc_lu_sanxiao_favor_4,1.70,fx_feast
recipe_archive_scroll,recipe_name_archive_scroll,gift,loom,"item_cloth_yunsi_bujuan|crop_guyu_chaya","1|1",item_gift_archive_scroll,1,120,highest,npc_favor,npc_lu_sanxiao_favor_4,1.60,fx_loom_gold
recipe_ritual_fire_core,recipe_name_ritual_fire_core,special,furnace,"item_special_huojing_fragment|item_metal_xuantie|item_material_oil_base","2|1|1",item_ritual_fire_core,1,160,highest,npc_favor,npc_hu_sihai_favor_5,1.00,fx_forge_fire
