quest_id,quest_name_key,quest_type,chapter,issuer_id,auto_accept,repeatable,time_limit_day,priority,quest_desc_key,complete_reward_group
quest_side_0101_xubo_bridge_old,quest_name_side_0101,side,1,npc_xubo,false,false,0,70,quest_side_0101_desc,pool_reward_side_0101
quest_side_0102_zhang_repair,quest_name_side_0102,side,1,npc_zhang_tieshan,false,false,0,68,quest_side_0102_desc,pool_reward_side_0102
quest_side_0103_baizhi_clinic,quest_name_side_0103,side,1,npc_baizhi,false,false,0,66,quest_side_0103_desc,pool_reward_side_0103
quest_side_0104_term_jingzhe,quest_name_side_0104,side,1,npc_system,true,false,3,72,quest_side_0104_desc,pool_reward_side_0104
quest_side_0105_spirit_luobo,quest_name_side_0105,spirit,1,npc_system,true,false,0,65,quest_side_0105_desc,pool_reward_side_0105
quest_side_0201_hu_price_test,quest_name_side_0201,side,2,npc_hu_sihai,false,false,5,72,quest_side_0201_desc,pool_reward_side_0201
quest_side_0202_atan_workbench,quest_name_side_0202,side,2,npc_atan,false,false,0,68,quest_side_0202_desc,pool_reward_side_0202
quest_side_0203_baizhi_patient,quest_name_side_0203,side,2,npc_baizhi,false,false,2,74,quest_side_0203_desc,pool_reward_side_0203
quest_side_0204_lu_market_story,quest_name_side_0204,side,2,npc_lu_sanxiao,false,false,0,64,quest_side_0204_desc,pool_reward_side_0204
quest_side_0205_qinghe_pond,quest_name_side_0205,side,2,npc_qinghe,false,false,0,63,quest_side_0205_desc,pool_reward_side_0205
quest_side_0206_spirit_lajiao,quest_name_side_0206,spirit,2,npc_system,true,false,0,62,quest_side_0206_desc,pool_reward_side_0206
quest_side_0301_shen_training,quest_name_side_0301,side,3,npc_shen_gudeng,false,false,0,72,quest_side_0301_desc,pool_reward_side_0301
quest_side_0302_faction_sample,quest_name_side_0302,side,3,npc_hu_sihai,false,false,3,75,quest_side_0302_desc,pool_reward_side_0302
quest_side_0303_qinghe_canal,quest_name_side_0303,side,3,npc_qinghe,false,false,0,67,quest_side_0303_desc,pool_reward_side_0303
quest_side_0304_atan_spirit_room,quest_name_side_0304,spirit,3,npc_atan,false,false,0,65,quest_side_0304_desc,pool_reward_side_0304
quest_side_0305_zhang_masterwork,quest_name_side_0305,side,3,npc_zhang_tieshan,false,false,0,69,quest_side_0305_desc,pool_reward_side_0305
quest_side_0306_spirit_suan,quest_name_side_0306,spirit,3,npc_system,true,false,0,64,quest_side_0306_desc,pool_reward_side_0306
quest_side_0401_relief_supply,quest_name_side_0401,side,4,npc_xubo,true,false,2,78,quest_side_0401_desc,pool_reward_side_0401
quest_side_0402_hu_last_route,quest_name_side_0402,side,4,npc_hu_sihai,false,false,0,70,quest_side_0402_desc,pool_reward_side_0402
quest_side_0403_baizhi_night,quest_name_side_0403,side,4,npc_baizhi,false,false,3,72,quest_side_0403_desc,pool_reward_side_0403
quest_side_0404_lu_steles,quest_name_side_0404,side,4,npc_lu_sanxiao,false,false,0,68,quest_side_0404_desc,pool_reward_side_0404
quest_side_0405_spirit_shui,quest_name_side_0405,spirit,4,npc_system,true,false,0,66,quest_side_0405_desc,pool_reward_side_0405
quest_side_0406_spirit_bucao,quest_name_side_0406,spirit,4,npc_system,true,false,0,65,quest_side_0406_desc,pool_reward_side_0406
