map_id,quest_id,step_id,dialogue_group_id,scene_key,trigger_timing,skip_allowed,note
side_map_0101_01,quest_side_0101_xubo_bridge_old,step_side_0101_01,dialogue_xubo_quest_0002,scene_side_0101_xubo_bridge_old,after_accept,false,bridge memory talk
side_map_0101_02,quest_side_0101_xubo_bridge_old,step_side_0101_02,dialogue_xubo_favor_2,scene_side_0101_xubo_bridge_old,after_collect,false,bridge relic hand-in
side_map_0102_01,quest_side_0102_zhang_repair,step_side_0102_01,dialogue_zhang_quest_0102,scene_side_0102_zhang_repair,after_accept,false,material request
side_map_0102_02,quest_side_0102_zhang_repair,step_side_0102_02,dialogue_zhang_favor_3,scene_side_0102_zhang_repair,after_collect,false,tool upgrade reward
side_map_0103_01,quest_side_0103_baizhi_clinic,step_side_0103_01,dialogue_baizhi_quest_0101,scene_side_0103_baizhi_clinic,after_accept,false,clinic herb request
side_map_0103_02,quest_side_0103_baizhi_clinic,step_side_0103_03,dialogue_baizhi_favor_2,scene_side_0103_baizhi_clinic,after_collect,false,final medicine talk
side_map_0104_01,quest_side_0104_term_jingzhe,step_side_0104_01,dialogue_main_0104_jingzhe,scene_side_0104_jingzhe,after_trigger,false,pest warning
side_map_0105_01,quest_side_0105_spirit_luobo,step_side_0105_01,dialogue_main_0003_spirit,scene_side_0105_spirit_luobo,after_collect,false,first spirit gift
side_map_0105_02,quest_side_0105_spirit_luobo,step_side_0105_02,dialogue_main_0003_spirit,scene_side_0105_spirit_luobo,after_talk,false,spirit mood talk
side_map_0201_01,quest_side_0201_hu_price_test,step_side_0201_01,dialogue_hu_default,scene_side_0201_hu_price_test,after_accept,false,pricing test
side_map_0201_02,quest_side_0201_hu_price_test,step_side_0201_02,dialogue_hu_default,scene_side_0201_hu_price_test,after_sell,false,feedback talk
side_map_0202_01,quest_side_0202_atan_workbench,step_side_0202_01,dialogue_atan_default,scene_side_0202_atan_workbench,after_accept,false,workbench plan
side_map_0202_02,quest_side_0202_atan_workbench,step_side_0202_02,dialogue_atan_favor_4,scene_side_0202_atan_workbench,after_build,false,shed completion
side_map_0203_01,quest_side_0203_baizhi_patient,step_side_0203_01,dialogue_baizhi_quest_0101,scene_side_0203_baizhi_patient,after_accept,false,patient prep
side_map_0203_02,quest_side_0203_baizhi_patient,step_side_0203_03,dialogue_baizhi_favor_4,scene_side_0203_baizhi_patient,after_collect,false,night treatment
side_map_0204_01,quest_side_0204_lu_market_story,step_side_0204_01,dialogue_lu_default,scene_side_0204_lu_market_story,after_accept,false,rumor collection
side_map_0204_02,quest_side_0204_lu_market_story,step_side_0204_02,dialogue_lu_favor_2,scene_side_0204_lu_market_story,after_talk,false,market story payoff
side_map_0205_01,quest_side_0205_qinghe_pond,step_side_0205_01,dialogue_qinghe_default,scene_side_0205_qinghe_pond,after_accept,false,pond build
side_map_0205_02,quest_side_0205_qinghe_pond,step_side_0205_02,dialogue_qinghe_quest_0205,scene_side_0205_qinghe_pond,after_collect,false,fish release
side_map_0206_01,quest_side_0206_spirit_lajiao,step_side_0206_01,dialogue_zhang_default,scene_side_0206_spirit_lajiao,after_accept,false,fire machine trial
side_map_0206_02,quest_side_0206_spirit_lajiao,step_side_0206_02,dialogue_zhang_favor_3,scene_side_0206_spirit_lajiao,after_talk,false,lajiao praise
side_map_0301_01,quest_side_0301_shen_training,step_side_0301_01,dialogue_shen_default,scene_side_0301_shen_training,after_accept,false,training start
side_map_0301_02,quest_side_0301_shen_training,step_side_0301_02,dialogue_shen_favor_4,scene_side_0301_shen_training,after_finish,false,training result
side_map_0302_01,quest_side_0302_faction_sample,step_side_0302_01,dialogue_hu_default,scene_side_0302_faction_sample,after_accept,false,order prep
side_map_0302_02,quest_side_0302_faction_sample,step_side_0302_02,dialogue_hu_favor_3,scene_side_0302_faction_sample,after_sell,false,faction order result
side_map_0303_01,quest_side_0303_qinghe_canal,step_side_0303_01,dialogue_qinghe_default,scene_side_0303_qinghe_canal,after_accept,false,canal repair
side_map_0303_02,quest_side_0303_qinghe_canal,step_side_0303_02,dialogue_qinghe_favor_2,scene_side_0303_qinghe_canal,after_build,false,canal flow
side_map_0304_01,quest_side_0304_atan_spirit_room,step_side_0304_01,dialogue_atan_default,scene_side_0304_atan_spirit_room,after_accept,false,spirit room plan
side_map_0304_02,quest_side_0304_atan_spirit_room,step_side_0304_02,dialogue_atan_favor_5,scene_side_0304_atan_spirit_room,after_complete,false,room settled
side_map_0305_01,quest_side_0305_zhang_masterwork,step_side_0305_01,dialogue_zhang_quest_0102,scene_side_0305_zhang_masterwork,after_accept,false,wind furnace trial
side_map_0305_02,quest_side_0305_zhang_masterwork,step_side_0305_02,dialogue_zhang_favor_5,scene_side_0305_zhang_masterwork,after_complete,false,masterwork completion
side_map_0306_01,quest_side_0306_spirit_suan,step_side_0306_01,dialogue_shen_default,scene_side_0306_spirit_suan,after_accept,false,night raid prep
side_map_0306_02,quest_side_0306_spirit_suan,step_side_0306_02,dialogue_shen_favor_5,scene_side_0306_spirit_suan,after_finish,false,suan patrol result
side_map_0401_01,quest_side_0401_relief_supply,step_side_0401_01,dialogue_xubo_favor_5,scene_side_0401_relief_supply,after_accept,false,drought relief start
side_map_0401_02,quest_side_0401_relief_supply,step_side_0401_02,dialogue_baizhi_favor_5,scene_side_0401_relief_supply,after_finish,false,medicine delivery
side_map_0402_01,quest_side_0402_hu_last_route,step_side_0402_01,dialogue_hu_favor_5,scene_side_0402_hu_last_route,after_accept,false,last route prep
side_map_0402_02,quest_side_0402_hu_last_route,step_side_0402_02,dialogue_hu_favor_5,scene_side_0402_hu_last_route,after_finish,false,last route return
side_map_0403_01,quest_side_0403_baizhi_night,step_side_0403_01,dialogue_baizhi_favor_4,scene_side_0403_baizhi_night,after_accept,false,clinic night watch
side_map_0403_02,quest_side_0403_baizhi_night,step_side_0403_02,dialogue_baizhi_favor_5,scene_side_0403_baizhi_night,after_finish,false,night lamp end
side_map_0404_01,quest_side_0404_lu_steles,step_side_0404_01,dialogue_lu_favor_4,scene_side_0404_lu_steles,after_accept,false,stela fragments
side_map_0404_02,quest_side_0404_lu_steles,step_side_0404_02,dialogue_final_array,scene_side_0404_lu_steles,after_finish,false,stela reveal
side_map_0405_01,quest_side_0405_spirit_shui,step_side_0405_01,dialogue_qinghe_favor_5,scene_side_0405_spirit_shui,after_accept,false,final waterline
side_map_0405_02,quest_side_0405_spirit_shui,step_side_0405_02,dialogue_main_0403_final_support,scene_side_0405_spirit_shui,after_finish,false,final array waterline
side_map_0406_01,quest_side_0406_spirit_bucao,step_side_0406_01,dialogue_atan_favor_5,scene_side_0406_spirit_bucao,after_accept,false,banquet cloth prep
