step_id,quest_id,step_index,objective_type,target_id,target_count,area_id,solar_term_condition,pre_step_id,complete_event_id
step_side_0101_01,quest_side_0101_xubo_bridge_old,1,talk,npc_xubo,1,area_town_hall,,, 
step_side_0101_02,quest_side_0101_xubo_bridge_old,2,collect,item_old_bridge_tag,1,area_bridge_backhill,,step_side_0101_01,
step_side_0102_01,quest_side_0102_zhang_repair,1,collect,item_ore_copper,5,area_mine_qingyun,,, 
step_side_0102_02,quest_side_0102_zhang_repair,2,collect,item_coal_raw,10,area_workshop,,step_side_0102_01,
step_side_0103_01,quest_side_0103_baizhi_clinic,1,collect,item_herb_shihu,2,area_farm_start,,, 
step_side_0103_02,quest_side_0103_baizhi_clinic,2,collect,item_herb_lingzhi,1,area_farm_start,,step_side_0103_01,
step_side_0103_03,quest_side_0103_baizhi_clinic,3,talk,npc_baizhi,1,area_clinic,,step_side_0103_02,
step_side_0104_01,quest_side_0104_term_jingzhe,1,defeat,event_pest_basic,15,area_farm_start,term_jingzhe,, 
step_side_0105_01,quest_side_0105_spirit_luobo,1,collect,item_food_root_any,3,area_house_start,,, 
step_side_0105_02,quest_side_0105_spirit_luobo,2,talk,spirit_luobo_01,1,area_house_start,,step_side_0105_01,
step_side_0201_01,quest_side_0201_hu_price_test,1,sell,item_shop_test_good,3,area_shop_old,,, 
step_side_0201_02,quest_side_0201_hu_price_test,2,talk,npc_hu_sihai,1,area_shop_old,,step_side_0201_01,
step_side_0202_01,quest_side_0202_atan_workbench,1,collect,item_wood_basic,30,area_farm_mid,,, 
step_side_0202_02,quest_side_0202_atan_workbench,2,build,build_workbench_shed,1,area_farm_mid,,step_side_0202_01,
step_side_0203_01,quest_side_0203_baizhi_patient,1,collect,item_medicine_support_a,1,area_clinic,,, 
step_side_0203_02,quest_side_0203_baizhi_patient,2,collect,item_medicine_support_b,1,area_clinic,,step_side_0203_01,
step_side_0203_03,quest_side_0203_baizhi_patient,3,collect,item_medicine_support_c,1,area_clinic,,step_side_0203_02,
step_side_0204_01,quest_side_0204_lu_market_story,1,collect,item_story_rumor_note,3,area_town_main,,, 
step_side_0204_02,quest_side_0204_lu_market_story,2,talk,npc_lu_sanxiao,1,area_teahouse,,step_side_0204_01,
step_side_0205_01,quest_side_0205_qinghe_pond,1,build,build_fishpond_lv1,1,area_riverbank,,, 
step_side_0205_02,quest_side_0205_qinghe_pond,2,collect,item_fish_spiritling,1,area_riverbank,,step_side_0205_01,
step_side_0206_01,quest_side_0206_spirit_lajiao,1,craft,recipe_fire_process_any,10,area_workshop,,, 
step_side_0206_02,quest_side_0206_spirit_lajiao,2,talk,spirit_lajiao_01,1,area_workshop,,step_side_0206_01,
step_side_0301_01,quest_side_0301_shen_training,1,defeat,event_training_dummy,3,area_training_slope,,, 
step_side_0301_02,quest_side_0301_shen_training,2,talk,npc_shen_gudeng,1,area_training_slope,,step_side_0301_01,
step_side_0302_01,quest_side_0302_faction_sample,1,sell,item_sample_quality_high,3,area_shop_old,,, 
step_side_0302_02,quest_side_0302_faction_sample,2,talk,npc_hu_sihai,1,area_shop_old,,step_side_0302_01,
step_side_0303_01,quest_side_0303_qinghe_canal,1,collect,item_stone_basic,20,area_old_canal,,, 
step_side_0303_02,quest_side_0303_qinghe_canal,2,build,build_hidden_canal_fix,2,area_old_canal,,step_side_0303_01,
step_side_0304_01,quest_side_0304_atan_spirit_room,1,build,build_spirit_room_group,3,area_farm_mid,,, 
step_side_0304_02,quest_side_0304_atan_spirit_room,2,collect,item_spirit_mood_stable,3,area_farm_mid,,step_side_0304_01,
step_side_0305_01,quest_side_0305_zhang_masterwork,1,craft,item_machine_wind_furnace_upgrade,1,area_blacksmith,,, 
step_side_0305_02,quest_side_0305_zhang_masterwork,2,talk,npc_zhang_tieshan,1,area_blacksmith,,step_side_0305_01,
step_side_0306_01,quest_side_0306_spirit_suan,1,defeat,event_night_raid_basic,3,area_farm_mid,,, 
step_side_0306_02,quest_side_0306_spirit_suan,2,talk,spirit_suan_02,1,area_farm_mid,,step_side_0306_01,
step_side_0401_01,quest_side_0401_relief_supply,1,collect,item_water_supply_relief,3,area_town_main,,, 
step_side_0401_02,quest_side_0401_relief_supply,2,collect,item_medicine_relief,3,area_town_main,,step_side_0401_01,
step_side_0402_01,quest_side_0402_hu_last_route,1,collect,item_route_supply_pack,3,area_shop_old,,, 
step_side_0402_02,quest_side_0402_hu_last_route,2,talk,npc_hu_sihai,1,area_town_gate,,step_side_0402_01,
step_side_0403_01,quest_side_0403_baizhi_night,1,collect,item_fuel_clinic,3,area_clinic,,, 
step_side_0403_02,quest_side_0403_baizhi_night,2,collect,item_medicine_advanced,3,area_clinic,,step_side_0403_01,
step_side_0404_01,quest_side_0404_lu_steles,1,collect,item_stela_fragment,3,area_world,,, 
step_side_0404_02,quest_side_0404_lu_steles,2,talk,npc_lu_sanxiao,1,area_hidden_stela,,step_side_0404_01,
step_side_0405_01,quest_side_0405_spirit_shui,1,build,build_final_water_channel,1,area_farm_core,,, 
step_side_0405_02,quest_side_0405_spirit_shui,2,talk,spirit_shui_03,1,area_farm_core,,step_side_0405_01,
step_side_0406_01,quest_side_0406_spirit_bucao,1,craft,item_final_brocade_roll,1,area_workshop,,, 
step_side_0406_02,quest_side_0406_spirit_bucao,2,talk,spirit_bucao_03,1,area_workshop,,step_side_0406_01,
