term_id,term_name_key,season,duration_day,crop_bonus_tags,market_bonus_tags,spirit_bonus_tags,risk_pool_id,weather_weight_group,event_group
term_lichun,term_name_lichun,spring,3,"spring_seed|earth_crop","seed_discount|basic_food","farm_spirit_small",risk_pool_spring_light,weather_spring_clear,event_group_lichun
term_yushui,term_name_yushui,spring,3,"water_crop|growth_small","water_goods","water_spirit_small",risk_pool_spring_light,weather_spring_rain,event_group_yushui
term_jingzhe,term_name_jingzhe,spring,3,"pest_sensitive","pest_goods|defense_goods","combat_spirit_up",risk_pool_jingzhe_pest,weather_spring_mix,event_group_jingzhe
term_chunfen,term_name_chunfen,spring,3,"balanced_growth","basic_goods","social_spirit_small",risk_pool_none,weather_spring_clear,event_group_chunfen
term_qingming,term_name_qingming,spring,3,"wood_crop","ritual_goods","memory_spirit_small",risk_pool_spring_light,weather_spring_mist,event_group_qingming
term_guyu,term_name_guyu,spring,3,"wood_crop|spirit_up","tea_goods","farm_spirit_up",risk_pool_guyu,weather_spring_rain,event_group_guyu
term_lixia,term_name_lixia,summer,3,"fire_crop","fire_goods","workshop_spirit_up",risk_pool_summer_light,weather_summer_clear,event_group_lixia
term_xiaoman,term_name_xiaoman,summer,3,"yield_up","grain_goods","farm_spirit_small",risk_pool_summer_light,weather_summer_clear,event_group_xiaoman
term_mangzhong,term_name_mangzhong,summer,3,"seeding_efficiency","grain_goods","farm_spirit_up",risk_pool_summer_light,weather_summer_clear,event_group_mangzhong
term_xiazhi,term_name_xiazhi,summer,3,"summer_growth","cool_food","water_spirit_small",risk_pool_summer_heat,weather_summer_hot,event_group_xiazhi
term_xiaoshu,term_name_xiaoshu,summer,3,"water_crop","cold_drink","water_spirit_up",risk_pool_summer_heat,weather_summer_hot,event_group_xiaoshu
term_dashu,term_name_dashu,summer,3,"heat_resist","drink_goods|medicine_goods","fire_spirit_up",risk_pool_dashu_drought,weather_summer_dry,event_group_dashu
term_liqiu,term_name_liqiu,autumn,3,"autumn_grain","grain_goods","shop_spirit_small",risk_pool_autumn_light,weather_autumn_clear,event_group_liqiu
term_chushu,term_name_chushu,autumn,3,"earth_crop","storage_goods","utility_spirit_small",risk_pool_autumn_light,weather_autumn_clear,event_group_chushu
term_bailu,term_name_bailu,autumn,3,"dew_crop","dew_goods|dessert_goods","herb_spirit_up",risk_pool_bailu,weather_autumn_dew,event_group_bailu
term_qiufen,term_name_qiufen,autumn,3,"medicine_crop","medicine_goods","farm_spirit_small",risk_pool_autumn_light,weather_autumn_clear,event_group_qiufen
term_hanlu,term_name_hanlu,autumn,3,"cold_sensitive","warming_goods","combat_spirit_small",risk_pool_autumn_cold,weather_autumn_cold,event_group_hanlu
term_shuangjiang,term_name_shuangjiang,autumn,3,"frost_sensitive","warming_goods|fire_goods","combat_spirit_up",risk_pool_shuangjiang_frost,weather_autumn_frost,event_group_shuangjiang
term_lidong,term_name_lidong,winter,3,"winter_crop","storage_goods","utility_spirit_small",risk_pool_winter_light,weather_winter_cold,event_group_lidong
term_xiaoxue,term_name_xiaoxue,winter,3,"cold_crop","ice_goods","water_spirit_small",risk_pool_winter_light,weather_winter_snow_light,event_group_xiaoxue
term_daxue,term_name_daxue,winter,3,"cold_crop","warming_goods","farm_spirit_small",risk_pool_winter_snow,weather_winter_snow,event_group_daxue
term_dongzhi,term_name_dongzhi,winter,3,"festival_crop","festival_goods|premium_goods","social_spirit_up",risk_pool_none,weather_winter_clear,event_group_dongzhi
term_xiaohan,term_name_xiaohan,winter,3,"process_goods","medicine_goods","workshop_spirit_small",risk_pool_winter_cold,weather_winter_cold,event_group_xiaohan
term_dahan,term_name_dahan,winter,3,"extreme_crop","medicine_goods|relief_goods","all_spirit_test",risk_pool_dahan_extreme,weather_winter_extreme,event_group_dahan
