spirit_id,spirit_line_id,stage,spirit_name_key,element_type,main_role,sub_role,hunger_max,mood_max,stamina_max,work_range_x,work_range_y,work_power_base,follow_support,gift_pool_id,favorite_food_tags,model_id,anim_set_id
spirit_luobo_01,spirit_line_luobo,1,spirit_name_luobo_01,earth,farm,utility,100,100,100,3,3,1.00,true,pool_gift_luobo,"root|plain_food",model_spirit_luobo_01,animset_spirit_luobo_01
spirit_luobo_02,spirit_line_luobo,2,spirit_name_luobo_02,earth,farm,medicine,120,110,120,5,5,1.45,true,pool_gift_luobo,"root|herb_food",model_spirit_luobo_02,animset_spirit_luobo_02
spirit_luobo_03,spirit_line_luobo,3,spirit_name_luobo_03,earth,farm,utility,150,120,150,9,9,2.35,true,pool_gift_luobo_high,"root|rare_food",model_spirit_luobo_03,animset_spirit_luobo_03
spirit_lajiao_01,spirit_line_lajiao,1,spirit_name_lajiao_01,fire,workshop,combat,100,95,100,1,1,1.00,true,pool_gift_lajiao,"spicy|fire_food",model_spirit_lajiao_01,animset_spirit_lajiao_01
spirit_lajiao_02,spirit_line_lajiao,2,spirit_name_lajiao_02,fire,workshop,shop,120,105,120,3,3,1.55,true,pool_gift_lajiao,"spicy|cooked_food",model_spirit_lajiao_02,animset_spirit_lajiao_02
spirit_lajiao_03,spirit_line_lajiao,3,spirit_name_lajiao_03,fire,workshop,farm,150,120,150,5,5,2.30,true,pool_gift_lajiao_high,"fire_food|rare_food",model_spirit_lajiao_03,animset_spirit_lajiao_03
spirit_suan_01,spirit_line_suan,1,spirit_name_suan_01,metal,combat,farm,95,95,105,3,3,1.00,true,pool_gift_suan,"spicy|bulb_food",model_spirit_suan_01,animset_spirit_suan_01
spirit_suan_02,spirit_line_suan,2,spirit_name_suan_02,metal,combat,patrol,110,100,120,5,5,1.50,true,pool_gift_suan,"spicy|battle_food",model_spirit_suan_02,animset_spirit_suan_02
spirit_suan_03,spirit_line_suan,3,spirit_name_suan_03,metal,combat,patrol,130,110,150,7,7,2.20,true,pool_gift_suan_high,"rare_food|battle_food",model_spirit_suan_03,animset_spirit_suan_03
spirit_shui_01,spirit_line_shui,1,spirit_name_shui_01,water,farm,utility,100,100,100,2,2,1.00,true,pool_gift_shui,"water_food|fish_food",model_spirit_shui_01,animset_spirit_shui_01
spirit_shui_02,spirit_line_shui,2,spirit_name_shui_02,water,farm,utility,120,105,120,4,4,1.50,true,pool_gift_shui,"water_food|rare_food",model_spirit_shui_02,animset_spirit_shui_02
spirit_shui_03,spirit_line_shui,3,spirit_name_shui_03,water,farm,combat,150,115,150,6,6,2.25,true,pool_gift_shui_high,"water_food|legend_food",model_spirit_shui_03,animset_spirit_shui_03
spirit_yunshu_01,spirit_line_yunshu,1,spirit_name_yunshu_01,earth,utility,shop,100,100,100,3,3,1.00,false,pool_gift_yunshu,"staple|plain_food",model_spirit_yunshu_01,animset_spirit_yunshu_01
spirit_yunshu_02,spirit_line_yunshu,2,spirit_name_yunshu_02,earth,utility,shop,120,105,120,5,5,1.45,false,pool_gift_yunshu,"staple|cooked_food",model_spirit_yunshu_02,animset_spirit_yunshu_02
spirit_yunshu_03,spirit_line_yunshu,3,spirit_name_yunshu_03,earth,utility,shop,150,115,150,8,8,2.20,false,pool_gift_yunshu_high,"rare_food|grain_food",model_spirit_yunshu_03,animset_spirit_yunshu_03
spirit_bucao_01,spirit_line_bucao,1,spirit_name_bucao_01,metal,workshop,utility,95,100,95,2,2,1.00,false,pool_gift_bucao,"seed|fiber_food",model_spirit_bucao_01,animset_spirit_bucao_01
spirit_bucao_02,spirit_line_bucao,2,spirit_name_bucao_02,metal,workshop,shop,110,105,115,3,3,1.50,false,pool_gift_bucao,"fiber_food|sweet_food",model_spirit_bucao_02,animset_spirit_bucao_02
