bond_id,spirit_line_id,bond_level,exp_required,unlock_condition_group,reward_type,reward_param,effect_tag,dialogue_key,note
bond_luobo_01,spirit_line_luobo,1,80,quest_main_0403_complete,dialogue,dialogue_bond_luobo_01,farm_daily_greeting,dialogue_bond_luobo_01,post story greeting
bond_luobo_05,spirit_line_luobo,5,620,quest_main_0403_complete,event,event_bond_luobo_memory_01,farm_memory,dialogue_bond_luobo_05,first memory event
bond_luobo_10,spirit_line_luobo,10,2400,quest_main_0403_complete,cosmetic,skin_luobo_taotie_apron,farm_lifetime_partner,dialogue_bond_luobo_10,lifetime bond skin
bond_lajiao_01,spirit_line_lajiao,1,80,quest_main_0403_complete,buff,buff_bond_fire_machine_01,workshop_daily_greeting,dialogue_bond_lajiao_01,post story workshop bond
bond_lajiao_05,spirit_line_lajiao,5,620,quest_main_0403_complete,event,event_bond_lajiao_memory_01,workshop_memory,dialogue_bond_lajiao_05,fire memory event
bond_lajiao_10,spirit_line_lajiao,10,2400,quest_main_0403_complete,title,title_spirit_fire_partner,workshop_lifetime_partner,dialogue_bond_lajiao_10,lifetime bond title
bond_shui_01,spirit_line_shui,1,80,quest_main_0403_complete,buff,buff_bond_water_mood_01,water_daily_greeting,dialogue_bond_shui_01,waterline bond
bond_shui_05,spirit_line_shui,5,620,quest_main_0403_complete,event,event_bond_shui_memory_01,water_memory,dialogue_bond_shui_05,canal memory
bond_shui_10,spirit_line_shui,10,2400,quest_main_0403_complete,cosmetic,skin_shui_moon_bucket,water_lifetime_partner,dialogue_bond_shui_10,moon bucket skin
bond_hualing_01,spirit_line_hualing,1,90,quest_main_0403_complete,buff,buff_bond_guest_charm_01,shop_daily_greeting,dialogue_bond_hualing_01,rare spirit bond
bond_hualing_05,spirit_line_hualing,5,700,quest_main_0403_complete,event,event_bond_hualing_memory_01,guest_memory,dialogue_bond_hualing_05,garden guest memory
bond_hualing_10,spirit_line_hualing,10,2600,quest_main_0403_complete,cosmetic,skin_hualing_flower_bell,shop_lifetime_partner,dialogue_bond_hualing_10,flower bell skin
bond_leizhu_01,spirit_line_leizhu,1,90,quest_main_0403_complete,buff,buff_bond_trade_risk_01,trade_daily_greeting,dialogue_bond_leizhu_01,trade risk bond
bond_leizhu_05,spirit_line_leizhu,5,700,quest_main_0403_complete,event,event_bond_leizhu_memory_01,storm_memory,dialogue_bond_leizhu_05,storm memory
bond_leizhu_10,spirit_line_leizhu,10,2600,quest_main_0403_complete,title,title_spirit_thunder_captain,trade_lifetime_partner,dialogue_bond_leizhu_10,thunder captain title
bond_yuelian_01,spirit_line_yuelian,1,90,quest_main_0403_complete,buff,buff_bond_night_mood_01,night_daily_greeting,dialogue_bond_yuelian_01,night pond bond
bond_yuelian_05,spirit_line_yuelian,5,700,quest_main_0403_complete,event,event_bond_yuelian_memory_01,moon_memory,dialogue_bond_yuelian_05,moon memory
bond_yuelian_10,spirit_line_yuelian,10,2600,quest_main_0403_complete,cosmetic,skin_yuelian_silver_pond,night_lifetime_partner,dialogue_bond_yuelian_10,silver pond skin
