spirit_event_id,spirit_line_id,spirit_id,event_stage,trigger_condition,area_id,dialogue_key,reward_type,reward_param,note
spirit_event_luobo_01,spirit_line_luobo,spirit_luobo_01,intro,first_spirit_birth,area_house_start,spirit_event_luobo_01,item,item_crop_lingqi_bailuobo,first gift event
spirit_event_luobo_02,spirit_line_luobo,spirit_luobo_02,evolve,current_term_guyu,area_farm_mid,spirit_event_luobo_02,scene,cutscene_spirit_luobo_evolve,guyu evolve
spirit_event_luobo_03,spirit_line_luobo,spirit_luobo_03,final,chapter_3_complete,area_farm_core,spirit_event_luobo_03,buff,buff_farm_resolve_up,final companionship
spirit_event_lajiao_01,spirit_line_lajiao,spirit_lajiao_01,intro,first_fire_machine_assign,area_workshop,spirit_event_lajiao_01,buff,buff_fire_machine_speed_small,first ignition
spirit_event_lajiao_02,spirit_line_lajiao,spirit_lajiao_02,evolve,current_term_dashu,area_workshop,spirit_event_lajiao_02,scene,cutscene_spirit_lajiao_evolve,dashu trial
spirit_event_lajiao_03,spirit_line_lajiao,spirit_lajiao_03,final,chapter_3_complete,area_workshop,spirit_event_lajiao_03,buff,buff_fire_accident_block,fire suppression
spirit_event_suan_01,spirit_line_suan,spirit_suan_01,intro,current_term_jingzhe,area_farm_mid,spirit_event_suan_01,buff,buff_pest_clear_small,field guard
spirit_event_suan_02,spirit_line_suan,spirit_suan_02,evolve,has_dungeon_runs_5,area_training_slope,spirit_event_suan_02,scene,cutscene_spirit_suan_evolve,dungeon escort
spirit_event_suan_03,spirit_line_suan,spirit_suan_03,final,chapter_3_complete,area_farm_mid,spirit_event_suan_03,buff,buff_night_guard_up,final patrol
spirit_event_shui_01,spirit_line_shui,spirit_shui_01,intro,first_auto_water_complete,area_riverbank,spirit_event_shui_01,buff,buff_water_delivery_small,first water move
spirit_event_shui_02,spirit_line_shui,spirit_shui_02,evolve,current_term_bailu,area_old_canal,spirit_event_shui_02,scene,cutscene_spirit_shui_evolve,bailu canal
spirit_event_shui_03,spirit_line_shui,spirit_shui_03,final,quest_main_0402_active,area_farm_core,spirit_event_shui_03,buff,buff_final_waterline_up,final array waterline
spirit_event_yunshu_01,spirit_line_yunshu,spirit_yunshu_01,intro,first_auto_storage_complete,area_storage_yard,spirit_event_yunshu_01,buff,buff_storage_flow_small,first storage
spirit_event_yunshu_02,spirit_line_yunshu,spirit_yunshu_02,evolve,storage_box_count_2,area_storage_yard,spirit_event_yunshu_02,scene,cutscene_spirit_yunshu_evolve,sorting obsession
spirit_event_yunshu_03,spirit_line_yunshu,spirit_yunshu_03,final,has_faction_order_active,area_shop_old,spirit_event_yunshu_03,buff,buff_batch_sort_up,faction order night
spirit_event_bucao_01,spirit_line_bucao,spirit_bucao_01,intro,first_cloth_recipe_complete,area_workshop,spirit_event_bucao_01,buff,buff_cloth_quality_small,first mending
spirit_event_bucao_02,spirit_line_bucao,spirit_bucao_02,evolve,current_term_dongzhi,area_festival_ground,spirit_event_bucao_02,scene,cutscene_spirit_bucao_evolve,festival brocade
spirit_event_bucao_03,spirit_line_bucao,spirit_bucao_03,final,quest_main_0403_active,area_workshop,spirit_event_bucao_03,buff,buff_final_banquet_style,final banquet cloth
