mastery_id,job_type,level,exp_required,efficiency_bonus,unlock_effect,unlock_condition_group,ui_name_key,ui_desc_key,note
mastery_farm_01,farm,1,5,0.03,buff_job_farm_01,quest_main_0403_complete,mastery_name_farm_01,mastery_desc_farm_01,basic farm mastery
mastery_farm_03,farm,3,35,0.10,anim_job_farm_special,quest_main_0403_complete,mastery_name_farm_03,mastery_desc_farm_03,farm special animation
mastery_farm_05,farm,5,120,0.20,title_job_farm_master,quest_main_0403_complete,mastery_name_farm_05,mastery_desc_farm_05,farm master title
mastery_workshop_01,workshop,1,5,0.03,buff_job_workshop_01,quest_main_0403_complete,mastery_name_workshop_01,mastery_desc_workshop_01,basic workshop mastery
mastery_workshop_03,workshop,3,35,0.10,anim_job_workshop_special,quest_main_0403_complete,mastery_name_workshop_03,mastery_desc_workshop_03,workshop special animation
mastery_workshop_05,workshop,5,120,0.20,title_job_workshop_master,quest_main_0403_complete,mastery_name_workshop_05,mastery_desc_workshop_05,workshop master title
mastery_shop_01,shop,1,5,0.03,buff_job_shop_01,quest_main_0403_complete,mastery_name_shop_01,mastery_desc_shop_01,basic shop mastery
mastery_shop_03,shop,3,35,0.10,anim_job_shop_special,quest_main_0403_complete,mastery_name_shop_03,mastery_desc_shop_03,shop special animation
mastery_shop_05,shop,5,120,0.20,title_job_shop_master,quest_main_0403_complete,mastery_name_shop_05,mastery_desc_shop_05,shop master title
mastery_patrol_01,patrol,1,5,0.03,buff_job_patrol_01,quest_main_0403_complete,mastery_name_patrol_01,mastery_desc_patrol_01,basic patrol mastery
mastery_patrol_03,patrol,3,35,0.10,anim_job_patrol_special,quest_main_0403_complete,mastery_name_patrol_03,mastery_desc_patrol_03,patrol special animation
mastery_patrol_05,patrol,5,120,0.20,title_job_patrol_master,quest_main_0403_complete,mastery_name_patrol_05,mastery_desc_patrol_05,patrol master title
mastery_expedition_01,expedition,1,5,0.03,buff_job_expedition_01,quest_main_0403_complete,mastery_name_expedition_01,mastery_desc_expedition_01,basic expedition mastery
mastery_expedition_03,expedition,3,35,0.10,trait_expedition_captain,quest_main_0403_complete,mastery_name_expedition_03,mastery_desc_expedition_03,expedition captain trait
mastery_expedition_05,expedition,5,120,0.20,title_job_expedition_master,quest_main_0403_complete,mastery_name_expedition_05,mastery_desc_expedition_05,expedition master title
mastery_garden_01,garden,1,5,0.03,buff_job_garden_01,quest_main_0403_complete,mastery_name_garden_01,mastery_desc_garden_01,basic garden mastery
mastery_garden_03,garden,3,35,0.10,anim_job_garden_special,quest_main_0403_complete,mastery_name_garden_03,mastery_desc_garden_03,garden special animation
mastery_garden_05,garden,5,120,0.20,title_job_garden_master,quest_main_0403_complete,mastery_name_garden_05,mastery_desc_garden_05,garden master title
