memory_flag_id,spirit_line_id,flag_type,set_condition,clear_condition,effect_scope,effect_param,note
memory_luobo_first_gift,spirit_line_luobo,event_memory,spirit_event_luobo_01_complete,never,dialogue,spirit_event_luobo_01,remember first gift
memory_luobo_guyu_evolve,spirit_line_luobo,evolve_memory,spirit_event_luobo_02_complete,never,buff,buff_farm_resolve_up,remember evolve milestone
memory_lajiao_first_fire,spirit_line_lajiao,event_memory,spirit_event_lajiao_01_complete,never,machine,buff_fire_machine_speed_small,remember first ignition
memory_lajiao_drought_guard,spirit_line_lajiao,story_memory,spirit_event_lajiao_03_complete,never,story,chapter_4_fire_support,remember fire suppression
memory_suan_first_guard,spirit_line_suan,event_memory,spirit_event_suan_01_complete,never,combat,buff_pest_clear_small,remember pest defense
memory_suan_night_patrol,spirit_line_suan,story_memory,spirit_event_suan_03_complete,never,combat,buff_night_guard_up,remember final patrol
memory_shui_first_bucket,spirit_line_shui,event_memory,spirit_event_shui_01_complete,never,farm,buff_water_delivery_small,remember first water duty
memory_shui_final_channel,spirit_line_shui,story_memory,spirit_event_shui_03_complete,never,final,buff_final_waterline_up,remember final channel
memory_yunshu_storage_start,spirit_line_yunshu,event_memory,spirit_event_yunshu_01_complete,never,storage,buff_storage_flow_small,remember first storage
memory_yunshu_batch_night,spirit_line_yunshu,story_memory,spirit_event_yunshu_03_complete,never,shop,buff_batch_sort_up,remember faction batch night
memory_bucao_first_patch,spirit_line_bucao,event_memory,spirit_event_bucao_01_complete,never,shop,buff_cloth_quality_small,remember first patchwork
memory_bucao_banquet_finish,spirit_line_bucao,story_memory,spirit_event_bucao_03_complete,never,final,buff_final_banquet_style,remember banquet finish
