skill_id,spirit_id,skill_name_key,skill_type,trigger_type,cooldown_sec,effect_type,effect_param_1,effect_param_2,target_rule,desc_key,fx_id
skill_luobo_01_passive,spirit_luobo_01,skill_name_luobo_01_passive,passive,on_day_start,0,water,9,0,farm_dry_tiles,skill_desc_luobo_01_passive,fx_spirit_water_small
skill_luobo_02_passive,spirit_luobo_02,skill_name_luobo_02_passive,passive,on_work,0,harvest,1,0,mature_crops_in_range,skill_desc_luobo_02_passive,fx_spirit_harvest
skill_luobo_03_passive,spirit_luobo_03,skill_name_luobo_03_passive,passive,on_day_start,0,seed,81,0,farm_empty_tiles,skill_desc_luobo_03_passive,fx_spirit_seed
skill_lajiao_01_passive,spirit_lajiao_01,skill_name_lajiao_01_passive,passive,on_work,0,speed,0.20,0,single_fire_machine,skill_desc_lajiao_01_passive,fx_spirit_fire_small
skill_lajiao_02_passive,spirit_lajiao_02,skill_name_lajiao_02_passive,passive,on_work,0,double_output,0.15,0,three_fire_machines,skill_desc_lajiao_02_passive,fx_spirit_fire_double
skill_lajiao_03_passive,spirit_lajiao_03,skill_name_lajiao_03_passive,aura,on_day_start,0,soil_convert,1,3,random_normal_tile,skill_desc_lajiao_03_passive,fx_spirit_fire_field
skill_suan_01_passive,spirit_suan_01,skill_name_suan_01_passive,passive,on_event,0,combat,1,0,pest_targets,skill_desc_suan_01_passive,fx_spirit_slash
skill_suan_02_active,spirit_suan_02,skill_name_suan_02_active,active,manual,25,combat,1.20,5,enemy_5x5_area,skill_desc_suan_02_active,fx_spirit_sword_array
skill_suan_03_passive,spirit_suan_03,skill_name_suan_03_passive,passive,on_battle,3,combat,1.50,0,lowest_hp_enemy,skill_desc_suan_03_passive,fx_spirit_flying_sword
skill_shui_01_passive,spirit_shui_01,skill_name_shui_01_passive,passive,on_day_start,0,water,4,0,nearest_water_storage,skill_desc_shui_01_passive,fx_spirit_water_bucket
skill_shui_02_active,spirit_shui_02,skill_name_shui_02_active,active,manual,45,heal_field,1,0,drought_tiles_in_range,skill_desc_shui_02_active,fx_spirit_water_ring
skill_shui_03_passive,spirit_shui_03,skill_name_shui_03_passive,aura,on_term_change,0,weather_support,1,0,farm_global,skill_desc_shui_03_passive,fx_spirit_rain
skill_yunshu_01_passive,spirit_yunshu_01,skill_name_yunshu_01_passive,passive,on_work,0,transport,1,0,harvest_to_storage,skill_desc_yunshu_01_passive,fx_spirit_transport
skill_yunshu_02_passive,spirit_yunshu_02,skill_name_yunshu_02_passive,passive,on_work,0,restock,1,0,storage_to_shop,skill_desc_yunshu_02_passive,fx_spirit_restock
skill_yunshu_03_active,spirit_yunshu_03,skill_name_yunshu_03_active,active,manual,60,transport,99,0,bulk_transfer,skill_desc_yunshu_03_active,fx_spirit_swallow
skill_bucao_01_passive,spirit_bucao_01,skill_name_bucao_01_passive,passive,on_work,0,quality,0.05,0,fiber_recipe,skill_desc_bucao_01_passive,fx_spirit_thread
skill_bucao_02_passive,spirit_bucao_02,skill_name_bucao_02_passive,passive,on_work,0,speed,0.25,0,loom_machine,skill_desc_bucao_02_passive,fx_spirit_loom
skill_bucao_03_active,spirit_bucao_03,skill_name_bucao_03_active,active,manual,90,shop_bonus,0.20,0,premium_shop_state,skill_desc_bucao_03_active,fx_spirit_welcome
skill_caikuang_01_passive,spirit_caikuang_01,skill_name_caikuang_01_passive,passive,on_enter_area,0,reveal,1,0,hidden_ore_nodes,skill_desc_caikuang_01_passive,fx_spirit_scan
